Gene	Estimate	SE	P.Wald	P.LRT	P.Score
1	TMEM97	-2.254	0.757	0.00291	0.00014	0.000352
2	POMT1	-0.64	0.2	0.00133	0.00105	0.00115
3	SPATA33	-15.625	548.196	0.977	0.00158	0.007
4	FAM171B	-2.387	1.06	0.0243	0.00281	0.00549
5	ACAD10	15.638	593.456	0.979	0.00333	0.0121
6	ZSCAN12	-15.592	593.668	0.979	0.00384	0.014
7	RP9	15.587	593.827	0.979	0.00385	0.014
8	FCN3	-2.219	1.058	0.036	0.00654	0.0112
9	IGSF5	1.547	0.648	0.0169	0.00686	0.00901
10	CNTROB	15.658	650.115	0.981	0.00715	0.0213
11	ZNF90	15.62	649.868	0.981	0.00756	0.0225
12	DYNC1I2	-15.621	650.469	0.981	0.00767	0.0229
13	TMEM134	15.59	650.113	0.981	0.00819	0.0245
14	OR52K1	14.997	440.615	0.973	0.00881	0.0208
15	CCDC27	15.564	650.654	0.981	0.00898	0.0269
16	OR52M1	-15.569	650.402	0.981	0.0091	0.0272
17	WDR63	0.728	0.292	0.0125	0.0101	0.0107
18	CACNA1E	-0.752	0.301	0.0124	0.0104	0.011
19	CLTCL1	-0.417	0.169	0.0137	0.0111	0.0118
20	DENND2D	-15.478	649.64	0.981	0.0118	0.0348
21	PNLIPRP2	-13.351	461.779	0.977	0.0148	0.0415
22	TNFSF18	14.646	439.587	0.973	0.016	0.0393
23	PGPEP1L	0.303	0.127	0.017	0.0164	0.0166
24	C1orf220	0.345	0.145	0.0175	0.0168	0.017
25	EMR2	-14.62	441.285	0.974	0.0168	0.0412
26	IQCA1	14.6	440.773	0.974	0.0175	0.0429
27	PCDHB7	-14.599	441.004	0.974	0.0176	0.0431
28	ABLIM1	14.598	441.22	0.974	0.0178	0.0437
29	ARHGEF38	-14.582	439.661	0.974	0.0194	0.0476
30	ZNF268	14.561	441.282	0.974	0.0194	0.0476
31	CYP2C18	14.552	441.136	0.974	0.0196	0.0481
32	GYG1	14.554	441.321	0.974	0.0197	0.0485
33	NEB	-14.538	440.558	0.974	0.0203	0.0498
34	SNX31	14.53	441.342	0.974	0.0211	0.0518
35	CCDC40	-14.502	440.478	0.974	0.022	0.0541
36	ZSCAN31	-1.97	1.074	0.0665	0.0237	0.0328
37	RTKN2	1.959	1.074	0.0682	0.0247	0.0343
38	PAPSS1	14.878	509.349	0.977	0.0254	0.0491
39	C9orf43	-0.49	0.224	0.0289	0.0266	0.0274
40	FAM228B	-0.672	0.321	0.0362	0.0271	0.0298
41	MMP1	-1.014	0.489	0.0382	0.0285	0.0315
42	ZNF233	0.42	0.197	0.0333	0.0311	0.0317
43	GFRAL	14.76	509.628	0.977	0.0314	0.062
44	IGLV8-61	14.679	507.369	0.977	0.0346	0.0689
45	PYGM	-14.676	509.565	0.977	0.0352	0.0701
46	RP1L1	14.685	507.161	0.977	0.0355	0.071
47	IK	-0.816	0.403	0.0426	0.0362	0.0383
48	AEBP1	-14.661	508.379	0.977	0.0364	0.0726
49	MUC6	-14.66	508.606	0.977	0.0364	0.073
50	NT5DC3	14.641	508.323	0.977	0.037	0.0739
51	POMGNT1	-14.635	509.429	0.977	0.0374	0.0749
52	AP003062.1	14.683	509.604	0.977	0.0377	0.0749
53	PADI2	-14.632	509.483	0.977	0.0377	0.0754
54	GPR144	-14.623	509.345	0.977	0.038	0.0761
55	CHDC2	0.544	0.267	0.0414	0.0381	0.0392
56	PDE4DIP	-0.212	0.103	0.0393	0.0381	0.0385
57	TGM4	-14.625	509.321	0.977	0.0382	0.0766
58	TMPRSS15	-14.621	509.434	0.977	0.0382	0.0765
59	AHNAK2	-14.621	509.638	0.977	0.0384	0.0769
60	TMEM225	14.612	508.972	0.977	0.0387	0.0776
61	FAM227B	-14.614	509.491	0.977	0.0389	0.078
62	NLRX1	14.612	509.411	0.977	0.0392	0.0786
63	KIAA0825	-14.603	509.541	0.977	0.0396	0.0794
64	ZNF91	-14.6	509.568	0.977	0.0396	0.0795
65	CENPH	-14.601	509.48	0.977	0.0397	0.0797
66	GBP3	-0.734	0.367	0.0453	0.0397	0.0415
67	OR8U1	-1.86	1.086	0.0867	0.0399	0.0503
68	TOMM20L	-7.297	254.444	0.977	0.04	0.0802
69	C2CD3	14.565	634.332	0.982	0.0401	0.0943
70	S100Z	14.587	509.164	0.977	0.0403	0.0809
71	C19orf71	14.59	509.423	0.977	0.0404	0.0812
72	PDE5A	-1.861	1.088	0.0871	0.0404	0.0509
73	GSG1	-1.853	1.085	0.0878	0.0406	0.0512
74	CHAC2	-14.583	509	0.977	0.0407	0.0817
75	PHRF1	14.593	508.927	0.977	0.0407	0.0817
76	HPSE	14.581	509.348	0.977	0.0409	0.0821
77	LRRD1	14.579	509.505	0.977	0.041	0.0823
78	BCKDHA	14.575	509.527	0.977	0.0413	0.0831
79	TLDC2	-14.575	509.466	0.977	0.0413	0.0829
80	OR6V1	-14.577	509.49	0.977	0.0415	0.0835
81	RNF17	14.713	632.046	0.981	0.0415	0.0976
82	STX10	14.578	509.571	0.977	0.0415	0.0834
83	TRPM4	-14.575	509.489	0.977	0.0415	0.0835
84	DHRS7B	14.571	509.515	0.977	0.0417	0.0839
85	GAGE10	-14.577	509.569	0.977	0.0417	0.0838
86	TLX1NB	1.844	1.086	0.0896	0.042	0.053
87	ZNF208	-14.566	509.307	0.977	0.042	0.0845
88	CTSW	14.571	508.924	0.977	0.0421	0.0848
89	RBM44	-14.565	509.363	0.977	0.0422	0.0849
90	LCMT2	14.561	509.506	0.977	0.0423	0.0852
91	PCDHGA12	-14.559	509.343	0.977	0.0424	0.0853
92	C19orf59	14.559	509.376	0.977	0.0426	0.0858
93	MRPL32	-14.565	508.403	0.977	0.0426	0.0858
94	OR56B1	-14.562	509.091	0.977	0.043	0.0865
95	GMPR2	-14.567	509.479	0.977	0.0431	0.0868
96	DRC1	-14.549	508.469	0.977	0.0435	0.0876
97	SPAG5	-14.57	508.73	0.977	0.0435	0.0876
98	SVOPL	14.546	509.565	0.977	0.0435	0.0876
99	PLEKHG4	-14.604	615.956	0.981	0.0436	0.114
100	TLR10	14.553	509.267	0.977	0.0436	0.0876
101	IFNK	0.849	0.437	0.052	0.0437	0.0464
102	GUCA2A	14.539	508.816	0.977	0.0442	0.0889
103	XIRP2	-1.826	1.086	0.0927	0.0442	0.0558
104	CTU2	-0.204	0.102	0.0449	0.0444	0.0446
105	ASIC1	14.539	509.637	0.977	0.0448	0.0903
106	ZNF772	14.53	509.29	0.977	0.0448	0.0903
107	ARHGAP15	-14.515	507.611	0.977	0.0457	0.0919
108	GSTM4	-1.81	1.085	0.0952	0.0459	0.058
109	MROH5	-0.293	0.148	0.0476	0.0463	0.0467
110	NREP	-14.524	509.176	0.977	0.0463	0.0933
111	TNFRSF10C	-1.803	1.084	0.0963	0.0466	0.0589
112	FER1L6	-14.502	509.26	0.977	0.0476	0.096
113	BDKRB1	-14.5	508.88	0.977	0.0477	0.0962
114	FANCL	-14.501	509.637	0.977	0.0479	0.0965
115	OR4A16	0.585	0.3	0.0512	0.0479	0.0489
116	SLC20A1	1.8	1.089	0.0982	0.0487	0.0614
117	PCK2	1.788	1.085	0.0994	0.0491	0.0621
118	CALML4	1.431	0.81	0.0772	0.0495	0.0576
119	PRSS48	-0.264	0.135	0.0515	0.0505	0.0508
120	TMEM44	-14.481	508.739	0.977	0.0509	0.102
121	CNTNAP3B	-1.787	1.091	0.101	0.0513	0.0647
122	PPP1R15A	-14.493	509.359	0.977	0.0547	0.109
123	CCDC150	-0.85	0.465	0.0675	0.0573	0.0607
124	CPN2	-0.248	0.132	0.0594	0.0584	0.0588
125	OR5B3	-0.68	0.369	0.0655	0.0593	0.0615
126	OR6C74	0.257	0.139	0.0633	0.0622	0.0625
127	ABCC9	14.925	618.564	0.981	0.0632	0.0999
128	DFNA5	14.925	618.564	0.981	0.0632	0.0999
129	SON	-0.467	0.297	0.116	0.0634	0.0758
130	SIN3B	14.936	618.632	0.981	0.0637	0.101
131	WNK1	-0.887	0.5	0.0761	0.0645	0.0682
132	CACNA2D4	14.943	624.18	0.981	0.0652	0.103
133	MYO1A	1.369	0.815	0.0932	0.0652	0.0721
134	NPPA	-0.316	0.174	0.069	0.0668	0.0676
135	MICA	-0.712	0.407	0.0801	0.0696	0.0731
136	ZNF77	0.549	0.308	0.0747	0.07	0.0714
137	SLC5A4	-0.919	0.6	0.125	0.0704	0.0852
138	GABPB1	-1.54	1.055	0.144	0.0718	0.0951
139	ART1	14.828	623.609	0.981	0.0725	0.116
140	PIEZO2	14.806	619.942	0.981	0.0725	0.116
141	ADAM33	0.709	0.409	0.0832	0.0731	0.0761
142	GOT1L1	-1.134	0.68	0.0955	0.0735	0.0804
143	PCDHB14	14.841	623.041	0.981	0.0735	0.118
144	SLC8B1	14.779	611.562	0.981	0.0744	0.121
145	ZNF254	14.787	623.354	0.981	0.0745	0.12
146	VPS41	14.771	621.711	0.981	0.0758	0.122
147	ZNF99	-0.427	0.244	0.0796	0.0758	0.0772
148	ULK4	1.684	1.103	0.127	0.0759	0.0883
149	MGAM	14.761	621.893	0.981	0.0765	0.123
150	C3orf35	0.663	0.382	0.0826	0.0766	0.0785
151	TBC1D17	-14.76	623.853	0.981	0.0767	0.123
152	CSNK1A1L	14.749	620.641	0.981	0.0772	0.125
153	TIMM21	14.749	622.195	0.981	0.0772	0.124
154	RIPK3	-1.676	1.103	0.128	0.0774	0.09
155	CDRT1	-1.683	1.107	0.129	0.0779	0.0908
156	MYO1D	14.753	621.373	0.981	0.0782	0.126
157	CALHM2	-0.909	0.542	0.0938	0.0797	0.0841
158	AFP	-1.667	1.104	0.131	0.0798	0.0928
159	ZFYVE16	14.723	621.468	0.981	0.0801	0.13
160	ZNF543	-1.657	1.102	0.133	0.0809	0.0941
161	CYP1A1	-14.72	624.194	0.981	0.081	0.131
162	OR6P1	-1.657	1.102	0.133	0.081	0.0943
163	GRHPR	14.709	621.614	0.981	0.0812	0.132
164	R3HCC1L	-14.715	624.194	0.981	0.0812	0.131
165	ACACB	14.71	621.404	0.981	0.0816	0.132
166	C11orf40	-0.197	0.113	0.0831	0.0818	0.0822
167	CPB1	14.717	621.085	0.981	0.0818	0.133
168	SECTM1	14.7	623.029	0.981	0.0821	0.133
169	PLA2G2C	-0.307	0.178	0.084	0.0823	0.0829
170	B4GALNT1	14.693	624.191	0.981	0.0826	0.134
171	LECT1	-14.703	624.194	0.981	0.0828	0.134
172	AUNIP	-14.272	708.059	0.984	0.0829	0.157
173	CDH26	14.695	622.283	0.981	0.0829	0.135
174	EPX	-1.096	0.677	0.106	0.0831	0.0905
175	PAPLN	14.371	693.867	0.983	0.0833	0.169
176	PPP1R3A	1.644	1.101	0.135	0.0833	0.097
177	TJP2	14.683	622.313	0.981	0.0839	0.136
178	DSG3	14.682	622.897	0.981	0.0841	0.137
179	SH3TC2	14.682	623.85	0.981	0.0841	0.137
180	BTN3A2	-0.64	0.381	0.0931	0.0843	0.0874
181	DQX1	14.678	623.896	0.981	0.0843	0.137
182	ACOXL	14.681	621.422	0.981	0.0847	0.138
183	LRRIQ3	0.839	0.504	0.0965	0.0848	0.0882
184	TCIRG1	-14.67	623.909	0.981	0.085	0.138
185	ATP10B	14.677	622.877	0.981	0.0851	0.138
186	PZP	-1.634	1.101	0.138	0.0851	0.0991
187	ATXN3L	-14.673	624.068	0.981	0.0854	0.139
188	HNF4G	14.665	624.173	0.981	0.0854	0.139
189	KIAA0020	14.665	622.067	0.981	0.0854	0.139
190	PDHX	14.671	623.431	0.981	0.0854	0.139
191	ZNF720	0.22	0.128	0.0864	0.0854	0.0857
192	AOC2	14.67	623.899	0.981	0.0855	0.139
193	RPEL1	1.632	1.1	0.138	0.0855	0.0995
194	TMEM171	14.667	623.848	0.981	0.0857	0.14
195	ADAM2	-1.632	1.101	0.138	0.0858	0.0999
196	NIPSNAP3B	-14.668	624.185	0.981	0.0858	0.14
197	ZC3H8	-1.629	1.1	0.139	0.086	0.1
198	HEATR6	14.661	621.779	0.981	0.0861	0.14
199	RABEPK	1.665	1.118	0.137	0.0861	0.0999
200	WDR31	-14.66	624.052	0.981	0.0861	0.14
201	ECM2	14.669	624.173	0.981	0.0862	0.14
202	RP11-65D24.2	14.75	622.915	0.981	0.0862	0.139
203	LRRC42	14.682	623.508	0.981	0.0863	0.141
204	YBEY	-14.668	623.961	0.981	0.0863	0.141
205	CSH2	14.654	621.17	0.981	0.0864	0.141
206	PKHD1	-14.655	622.848	0.981	0.0865	0.141
207	TAS2R46	0.294	0.172	0.0874	0.0865	0.0867
208	TRBV20OR9-2	-1.269	0.81	0.117	0.0866	0.0959
209	CUTA	-14.663	623.861	0.981	0.0871	0.142
210	OCM	1.628	1.102	0.14	0.0874	0.102
211	CCDC176	14.647	623.131	0.981	0.0875	0.143
212	VWA7	0.535	0.318	0.0927	0.0875	0.0892
213	LRRIQ1	14.646	624.189	0.981	0.0876	0.143
214	RAB3GAP1	-14.648	623.713	0.981	0.0877	0.143
215	TAC4	-14.655	623.748	0.981	0.0878	0.143
216	ANKRD60	14.648	623.807	0.981	0.0879	0.143
217	ASAH2	1.619	1.1	0.141	0.0882	0.103
218	FAH	-14.651	624.193	0.981	0.0882	0.144
219	DEFB128	-0.672	0.404	0.0961	0.0885	0.0911
220	TTC21B	-14.659	624.003	0.981	0.0885	0.144
221	C11orf53	-14.653	622.337	0.981	0.0887	0.145
222	OR5H2	-14.635	622.942	0.981	0.0887	0.145
223	PKDREJ	-14.635	622.682	0.981	0.0887	0.145
224	MTERF	14.636	621.059	0.981	0.0888	0.145
225	ZNF493	14.631	622.086	0.981	0.089	0.145
226	RSPH10B2	-1.618	1.102	0.142	0.0892	0.104
227	hsa-mir-7162	-14.654	621.166	0.981	0.0893	0.146
228	MYOM2	-14.632	623.991	0.981	0.0893	0.146
229	SOSTDC1	1.617	1.101	0.142	0.0893	0.104
230	GCA	-14.631	624.182	0.981	0.0894	0.146
231	B4GALNT3	14.632	623.914	0.981	0.0896	0.146
232	LRRC48	-14.628	623.99	0.981	0.0896	0.146
233	PRKD1	14.627	624.193	0.981	0.0896	0.146
234	CCDC127	-14.625	624.172	0.981	0.0897	0.147
235	ITGA10	-14.63	624.171	0.981	0.0897	0.147
236	KRTAP4-3	-14.631	623.591	0.981	0.0897	0.147
237	C10orf88	-14.625	624.186	0.981	0.0899	0.147
238	SCN10A	14.626	624.151	0.981	0.0899	0.147
239	SZT2	14.626	624.142	0.981	0.09	0.147
240	ADD1	-14.623	624.147	0.981	0.0902	0.147
241	CEP95	-14.624	624.155	0.981	0.0902	0.147
242	MOCOS	-14.626	623.821	0.981	0.0902	0.147
243	CCDC183	-14.622	623.299	0.981	0.0903	0.148
244	DNASE2B	-14.622	624.184	0.981	0.0908	0.148
245	SRCRB4D	14.618	620.69	0.981	0.0911	0.149
246	DNAH10	14.611	624.101	0.981	0.0912	0.149
247	M1AP	14.614	624.087	0.981	0.0912	0.149
248	FANCM	14.621	624.102	0.981	0.0914	0.15
249	MYOM3	-14.614	623.89	0.981	0.0914	0.15
250	MYH7B	-14.611	624.146	0.981	0.0916	0.15
251	USP35	1.609	1.103	0.145	0.0916	0.107
252	NIPSNAP3A	-14.608	624.173	0.981	0.0918	0.15
253	SYNE1	14.608	624.089	0.981	0.0918	0.15
254	ALKBH3	-14.607	623.697	0.981	0.0919	0.15
255	SH3BP2	-14.607	623.643	0.981	0.0923	0.151
256	TRIM64B	-14.602	624.033	0.981	0.0924	0.151
257	KIAA0930	14.602	623.617	0.981	0.0925	0.151
258	PIGG	-14.603	623.597	0.981	0.0926	0.152
259	MAMSTR	14.597	624.108	0.981	0.0928	0.152
260	MDC1	-13.107	437.02	0.976	0.0928	0.167
261	PROK2	14.598	624.087	0.981	0.093	0.152
262	OR52J3	-0.363	0.218	0.0961	0.0931	0.0941
263	OR6C75	14.596	622	0.981	0.0931	0.153
264	MYOC	1.598	1.101	0.147	0.0932	0.109
265	RTTN	-14.594	623.684	0.981	0.0932	0.153
266	SMR3B	-14.605	623.916	0.981	0.0933	0.153
267	NXNL2	14.595	623.891	0.981	0.0934	0.153
268	C20orf202	-14.607	623.898	0.981	0.0935	0.153
269	CXCL11	-14.591	624.157	0.981	0.0935	0.153
270	C1orf56	14.592	623.776	0.981	0.0937	0.154
271	MAN2C1	14.596	624.189	0.981	0.0937	0.154
272	CCDC144A	14.59	623.485	0.981	0.0938	0.154
273	MED26	14.592	624.184	0.981	0.0938	0.154
274	SERPINB9	14.591	624.194	0.981	0.0938	0.154
275	N4BP2L2	14.59	623.735	0.981	0.0939	0.154
276	CCDC41	14.592	623.285	0.981	0.094	0.154
277	USH1C	-14.594	623.262	0.981	0.094	0.154
278	FAM73A	-14.589	624.184	0.981	0.0942	0.154
279	RESP18	14.587	623.986	0.981	0.0942	0.154
280	CLEC12A	-14.587	624.16	0.981	0.0943	0.155
281	OR6C4	-14.589	624.185	0.981	0.0943	0.154
282	TMEM209	1.594	1.101	0.148	0.0943	0.11
283	ASIC3	-14.586	624.145	0.981	0.0944	0.155
284	ENDOG	14.582	623.481	0.981	0.0945	0.155
285	MUC21	-14.59	623.023	0.981	0.0945	0.155
286	SH3TC1	14.582	623.56	0.981	0.0945	0.155
287	MAVS	-14.594	624.194	0.981	0.0946	0.155
288	C6orf222	14.583	623.388	0.981	0.0947	0.155
289	OTOGL	-14.58	624.116	0.981	0.0949	0.156
290	FAM83H	-14.578	624.189	0.981	0.095	0.156
291	CD5L	-14.581	623.939	0.981	0.0951	0.156
292	FMO5	-14.58	624.034	0.981	0.0951	0.156
293	NACAD	-14.578	624.112	0.981	0.0952	0.156
294	GNPTAB	14.575	623.724	0.981	0.0953	0.156
295	NIFK	14.577	624.191	0.981	0.0953	0.156
296	PTGR2	14.576	623.367	0.981	0.0953	0.156
297	ABCG8	-14.58	624.185	0.981	0.0954	0.156
298	KCNMB3	-0.545	0.333	0.102	0.0954	0.0978
299	LRIT1	-14.589	623.757	0.981	0.0954	0.156
300	PPID	-14.588	624.191	0.981	0.0954	0.156
301	AC092675.3	14.577	624.168	0.981	0.0955	0.157
302	C11orf65	-14.578	623.869	0.981	0.0956	0.157
303	MYH6	14.577	623.922	0.981	0.0956	0.157
304	AMY2B	-14.577	622.725	0.981	0.0957	0.157
305	ASMT	-14.574	623.838	0.981	0.0957	0.157
306	LILRA1	0.48	0.293	0.101	0.0958	0.0976
307	IGLV4-69	-14.577	624.088	0.981	0.0959	0.157
308	KLRF1	-14.591	622.897	0.981	0.0959	0.158
309	TTC23	14.57	623.699	0.981	0.0959	0.157
310	XDH	14.573	623.868	0.981	0.0959	0.157
311	LGI2	-14.574	624.182	0.981	0.0961	0.158
312	HIST1H2AH	14.576	623.887	0.981	0.0962	0.158
313	OPN4	14.571	622.996	0.981	0.0963	0.158
314	ATP6V0A4	-14.567	624.188	0.981	0.0964	0.158
315	CRTAM	14.568	623.944	0.981	0.0964	0.158
316	EXTL1	-14.572	623.791	0.981	0.0964	0.158
317	GPATCH4	-12.944	442.129	0.977	0.0964	0.165
318	KIAA0040	14.567	623.962	0.981	0.0964	0.158
319	PON1	14.567	623.962	0.981	0.0964	0.158
320	RNF103	14.567	623.962	0.981	0.0964	0.158
321	SLC24A5	14.567	623.962	0.981	0.0964	0.158
322	TCEB3B	-14.158	711.704	0.984	0.0964	0.182
323	UNC45A	14.569	623.625	0.981	0.0964	0.158
324	ZNF527	0.155	0.094	0.098	0.0964	0.0969
325	KRT82	14.567	623.705	0.981	0.0965	0.158
326	OARD1	14.569	623.814	0.981	0.0965	0.158
327	RP11-47I22.3	14.566	623.706	0.981	0.0965	0.158
328	GOLGA8N	14.569	624.125	0.981	0.0966	0.158
329	UIMC1	-14.568	624.166	0.981	0.0966	0.158
330	ZNF215	14.565	624.092	0.981	0.0966	0.159
331	TMEM252	14.565	624.19	0.981	0.0967	0.159
332	EXOC3L4	-14.564	623.813	0.981	0.0968	0.159
333	FCGR2A	0.309	0.188	0.0991	0.0968	0.0975
334	CIR1	-14.566	624.083	0.981	0.097	0.159
335	TLDC1	-14.576	624.051	0.981	0.097	0.159
336	OTOS	14.563	624.17	0.981	0.0971	0.159
337	ABCA4	14.563	624.029	0.981	0.0972	0.16
338	USP38	-14.565	622.806	0.981	0.0973	0.16
339	SLC25A2	0.834	0.519	0.108	0.0974	0.0999
340	CLEC4D	14.56	624.03	0.981	0.0976	0.16
341	DDX60	-14.562	623.865	0.981	0.0976	0.16
342	GSG2	-14.556	624.029	0.981	0.0976	0.16
343	OR4F15	-14.562	623.27	0.981	0.0976	0.16
344	PADI4	-14.558	624.174	0.981	0.0977	0.16
345	C9orf156	-14.561	622.331	0.981	0.098	0.161
346	CES2	-14.552	623.315	0.981	0.098	0.161
347	DOCK9	14.571	624.14	0.981	0.0981	0.161
348	IMPG1	-14.56	623.878	0.981	0.0981	0.161
349	LYG1	-14.554	624.193	0.981	0.0984	0.162
350	TFB1M	-14.553	624.107	0.981	0.0984	0.162
351	ZBBX	-14.554	623.809	0.981	0.0984	0.162
352	OAZ1	-14.55	624.163	0.981	0.0986	0.162
353	OR8K3	-0.947	0.603	0.116	0.0986	0.104
354	OAS2	-0.206	0.125	0.0998	0.0988	0.0992
355	IFNE	14.711	622.036	0.981	0.099	0.162
356	ZNF662	14.551	623.932	0.981	0.099	0.163
357	PBXIP1	-14.545	623.719	0.981	0.0991	0.163
358	TRPA1	-14.551	623.733	0.981	0.0991	0.163
359	CHID1	14.545	624.091	0.981	0.0992	0.163
360	FAT2	-14.541	622.152	0.981	0.0992	0.163
361	ORC4	-1.577	1.103	0.153	0.0992	0.115
362	COL17A1	-14.544	624.146	0.981	0.0993	0.163
363	GK5	-14.549	624.069	0.981	0.0993	0.163
364	RANGRF	-14.542	623.561	0.981	0.0994	0.163
365	TMEM131	-14.556	624.173	0.981	0.0994	0.163
366	TRIOBP	-14.556	624.173	0.981	0.0994	0.163
367	TMEM181	-14.542	623.737	0.981	0.0996	0.164
368	MYO15B	-14.539	624.139	0.981	0.0997	0.164
369	PLIN4	14.541	622.717	0.981	0.0997	0.164
370	PRPH	14.543	624.183	0.981	0.0997	0.164
371	SHE	14.543	624.038	0.981	0.0997	0.164
372	ABL2	14.538	623.673	0.981	0.1	0.164
373	CEACAM8	-14.539	623.823	0.981	0.1	0.165
374	CEP104	-14.54	624.193	0.981	0.1	0.165
375	FABP6	14.54	624.185	0.981	0.1	0.165
376	GALK2	14.541	624.194	0.981	0.1	0.164
377	KRT33B	-14.546	623.693	0.981	0.1	0.165
