Gene	M	P.SKAT
1	ZSCAN12	3	0.00907
2	RABEPK	2	0.0128
3	CCDC27	4	0.0167
4	ZNF559	3	0.0174
5	DENND2D	2	0.0259
6	SFTPB	2	0.0264
7	DUOX1	3	0.0299
8	ACAD10	2	0.0301
9	PYGM	2	0.0304
10	RP1L1	3	0.0305
11	VPS13A	2	0.0317
12	SPZ1	2	0.0328
13	ZNF268	4	0.0338
14	AHNAK2	3	0.0394
15	TMPRSS15	2	0.0396
16	CCDC40	2	0.0406
17	C5orf45	3	0.042
18	CENPH	2	0.0439
19	BCKDHA	2	0.0479
20	TRPM4	2	0.0518
21	PCDHGA12	3	0.056
22	ZNF77	2	0.0571
23	DRC1	3	0.0586
24	DNAH2	2	0.059
25	NREP	2	0.07
26	SPATA31E1	2	0.07
27	PIEZO2	2	0.0718
28	APOL3	2	0.0749
29	SLC5A4	2	0.0788
30	CSNK1A1L	2	0.0844
31	WDR87	4	0.0852
32	SLC8B1	2	0.0857
33	PLEKHG4	4	0.0871
34	MYO1A	5	0.0911
35	ULK4	2	0.0966
36	MYO1D	2	0.101
37	RIPK3	2	0.103
38	DQX1	2	0.106
39	EPX	3	0.108
40	AUNIP	3	0.111
41	RETSAT	2	0.116
42	IGSF10	5	0.116
43	TJP2	2	0.119
44	PDHX	2	0.12
45	CDH26	2	0.122
46	OR6P1	2	0.123
47	IL3RA	3	0.124
48	ZNF211	2	0.125
49	NIPSNAP3B	2	0.127
50	TMEM171	2	0.132
51	PKHD1	2	0.132
52	CLEC4C	2	0.132
53	ZBED6CL	2	0.137
54	OR1J1	2	0.139
55	MYOC	2	0.141
56	CCDC176	2	0.144
57	PCK2	3	0.145
58	C10orf88	2	0.147
59	FGGY	2	0.148
60	CCDC108	2	0.148
61	DNAH10	2	0.149
62	TTLL6	3	0.149
63	GBP4	2	0.151
64	C4orf47	2	0.151
65	DNAH11	2	0.154
66	B4GALNT3	2	0.155
67	CEP95	2	0.155
68	KRT36	2	0.156
69	ZNF846	2	0.156
70	OBSCN	2	0.158
71	CCDC7	2	0.162
72	DNAH12	2	0.163
73	SYNE1	2	0.164
74	MYOM2	2	0.166
75	TTC21B	2	0.167
76	ZNF568	2	0.167
77	FAH	2	0.168
78	ABCA8	2	0.172
79	MOCOS	2	0.172
80	ZNF493	2	0.172
81	ERV3-1	2	0.178
82	FANCM	2	0.178
83	PROK2	2	0.18
84	C6orf222	2	0.181
85	MYH7B	2	0.181
86	CCDC144A	2	0.183
87	ZNF100	2	0.183
88	RESP18	2	0.187
89	CD33	2	0.187
90	NIFK	2	0.188
91	PIGG	2	0.188
92	PDE3B	2	0.189
93	N4BP2L2	2	0.19
94	C11orf65	2	0.192
95	XDH	2	0.193
96	POLQ	2	0.193
97	MYH6	2	0.194
98	MUC21	2	0.195
99	CCDC73	2	0.196
100	CEP164	3	0.198
101	GNPTAB	2	0.198
102	FCRL3	2	0.199
103	ABCG8	2	0.199
104	ABCA4	2	0.203
105	ATP6V0A4	2	0.204
106	SERPINI2	3	0.205
107	ZNF729	2	0.205
108	FMO5	2	0.207
109	DOCK9	2	0.207
110	DNASE1	2	0.21
111	IGLV4-69	2	0.21
112	CCDC41	2	0.213
113	GSG2	2	0.214
114	SPATA4	2	0.219
115	PIK3R6	3	0.219
116	NOC3L	2	0.22
117	PLIN4	2	0.221
118	MMP21	2	0.223
119	TRPA1	2	0.224
120	LAMA3	2	0.225
121	G6PC3	2	0.226
122	TMEM181	2	0.227
123	FOLR4	2	0.227
124	TMEM131	2	0.228
125	COL4A3	2	0.23
126	LRTM1	2	0.23
127	PHYHD1	2	0.23
128	TMC4	2	0.23
129	ZNF765	2	0.231
130	TMEM99	2	0.232
131	CEP104	2	0.233
132	CAPN12	2	0.233
133	AP1G2	2	0.234
134	PRSS36	2	0.234
135	RAB19	2	0.236
136	HTRA4	2	0.236
137	CLEC4E	2	0.236
138	COL7A1	3	0.237
139	STARD9	3	0.237
140	DUOXA2	2	0.238
141	PALB2	2	0.238
142	KIAA0556	2	0.24
143	ENOSF1	2	0.24
144	PHKB	2	0.241
145	MAP10	2	0.243
146	DNAH3	2	0.243
147	SLCO1B3	2	0.244
148	PPM1D	2	0.244
149	MICB	2	0.25
150	GBP5	2	0.251
151	FAM129A	2	0.252
152	PKHD1L1	3	0.252
153	DCP1B	2	0.252
154	CASQ1	2	0.253
155	NCAPD2	2	0.256
156	ZNF233	2	0.259
157	BTNL9	2	0.26
158	USH2A	2	0.267
159	ABCB5	2	0.27
160	DHFRL1	2	0.278
161	USP45	3	0.279
162	AC002472.13	2	0.279
163	NPC1	2	0.281
164	ABCC2	4	0.283
165	DCDC2B	2	0.287
166	CCDC146	2	0.287
167	MAGEC3	2	0.287
168	ZCCHC4	2	0.291
169	KATNA1	2	0.291
170	PGC	2	0.295
171	PNLIPRP2	2	0.296
172	CARD6	3	0.297
173	PON2	2	0.298
174	TLR1	2	0.304
175	GOSR1	2	0.308
176	MUC17	2	0.315
177	RNASEL	2	0.318
178	CD36	2	0.336
179	CAMK1	2	0.337
180	KIAA0141	2	0.337
181	SHPK	2	0.341
182	OR10Q1	2	0.343
183	AGBL1	2	0.343
184	SLC22A5	2	0.347
185	WDR27	4	0.348
186	SLC26A10	3	0.348
187	XRCC1	2	0.352
188	TRMT10B	3	0.356
189	CAPG	2	0.359
190	BRCA2	3	0.359
191	LRRC9	3	0.362
192	HLA-DQB1	2	0.365
193	LAMA2	3	0.37
194	PRAMEF2	2	0.38
195	SOX30	2	0.38
196	C17orf80	2	0.381
