gene	eur.1k	gt.wes
1	SCARF2	3	0.00105485232067511
2	SYNM	1	0.00103950103950104
3	MAL2	1	0.00107758620689655
4	C19orf55	1	0.00143266475644699
5	FAM166A	0.9981	0.00524109014675052
6	ZNF626	0.8718	0.00316716061396912
7	AKR1C3	0.8489	0.00106382978723404
8	CCDC66	0.8469	0.0117136039470623
9	PCDHA4	0.7574	0.00144508670520231
10	C14orf105	0.7743	0.026801339977034
11	LENG9	0.6362	0.00104166666666667
12	SLC22A1	0.5835	0.00105042016806723
13	DNAH11	0.4901	0.00323613137633003
14	AL133373.1	0.4901	0.00634249471458774
15	ZFYVE19	0.3777	0.0010351966873706
16	HLA-A	0.3757	0.00909090909090909
17	ZNF586	0.3668	0.00180505415162455
18	PRKRA	0.339	0.00816326530612245
19	ADSSL1	0.3241	0.00125
20	OR7G3	0.3588	0.0486563920173879
21	ERCC6L2	0.3092	0.00104384133611691
22	LRRIQ1	0.2763	0.0023358310001996
23	MICA	0.2922	0.043778801843318
24	PVRIG	0.2336	0.00159744408945687
25	PLK5	0.2177	0.00117924528301887
26	PRB4	0.2058	0.00904977375565611
27	JAKMIP3	0.1899	0.00103950103950104
28	CYP2D6	0.2247	0.0399211951899672
29	CHIT1	0.1869	0.0041407867494824
30	TBC1D31	0.1978	0.0151772468836635
31	TRAV26-2	0.1859	0.0032967032967033
32	CNTNAP3B	0.178	0.00788288288288288
33	CDK5RAP1	0.171	0.00106382978723404
34	C17orf107	0.1571	0.00332594235033259
35	CSAG1	0.1531	0.00103950103950104
36	HCG27	0.1521	0.00120772946859903
37	ANKMY1	0.1511	0.00103950103950104
38	EVI5	0.1421	0.00118483412322275
39	GOLGA8S	0.1252	0.0011441647597254
40	ERCC8	0.1183	0.00217250950767447
41	TMEM78	0.1431	0.0333836072394425
42	HMCN2	0.1243	0.0223409566375048
43	GNRH2	0.1014	0.00128865979381443
