gene	eur.1k	gt.wes
1	TRBV3-1	0.001	1.03251187671194
2	VPS11	0	1
3	RP11-166B2.1	0.001	1
4	SARM1	0.001	1
5	OR11G2	0	0.726611226611227
6	PRIM2	0	0.504217358585225
7	OR4C3	0.001	0.5
8	SLC6A18	0	0.420382165605096
9	ZNF880	0	0.417030567685589
10	IGLV3-22	0	0.416408588607759
11	MUC3A	0.002	0.343003131922896
12	ZNF527	0	0.302325581395349
13	AKAP3	0	0.273505522251088
14	C7orf55-LUC7L2	0.002	0.181093394077449
15	AC073343.1	0.003	0.0966735966735967
16	CACNA1E	0	0.0657276995305164
17	PDE6B	0	0.0594170403587444
18	OR4A16	0.0099	0.0629453681710214
19	MKI67	0	0.0449437374084812
20	CNKSR1	0.001	0.0449790794979079
21	PRAMEF2	0	0.0429769392033543
22	GJB4	0.002	0.0445220662611967
23	ZNF595	0	0.0387029288702929
24	IK	0.001	0.0339168490153173
25	CTAGE6	0.001	0.032967032967033
26	HOMEZ	0	0.031496062992126
27	RDH16	0	0.0309139784946237
28	DEFB128	0.001	0.0314948896836099
29	PRPS1L1	0	0.029045643153527
30	TMEM97	0	0.0267605633802817
31	WNK1	0	0.026525198938992
32	MEOX2	0	0.0254238429323602
33	CCDC150	0	0.0245726495726496
34	LRRIQ3	0.002	0.0244111361143465
35	ATG4C	0.006	0.0277396476778769
36	PRAMEF12	0.005	0.0260960334029228
37	GP6	0	0.0197095435684647
38	SPINK5	0	0.0190114068441065
39	NLRP13	0	0.0179036385890731
40	VPS13A	0	0.0173402220107046
41	SLC25A2	0.003	0.0187110187110187
42	GOT1L1	0	0.0154241645244216
43	MNS1	0.002	0.0173920484029457
44	CCT6B	0.007	0.0208919254417441
45	LILRA3	0.002	0.0148928307464893
46	FAM171B	0	0.0122494432071269
47	PRDM2	0.001	0.0131759297695604
48	COL23A1	0.004	0.0160951486207886
49	NOP2	0	0.0117924528301887
50	AC079354.1	0.003	0.0146628643175807
51	TGFBR2	0	0.0116580310880829
52	CGNL1	0	0.0114795918367347
53	OR52H1	0.003	0.0143603133159269
54	LAMB4	0	0.0112867592489926
55	RTKN2	0.001	0.0122699386503067
56	ORC4	0.001	0.0121951219512195
57	MARS	0	0.010989010989011
58	MICAL2	0.007	0.0178947368421053
59	LRP1	0.001	0.0117647058823529
60	SLC22A25	0.005	0.0151602628242317
61	ABHD12B	0.008	0.0179848748940385
62	FAM179A	0.002	0.0117630826521198
63	PPP2R5A	0	0.00958466453674121
64	SIGLEC1	0.009	0.0185810810810811
65	TARS	0	0.00925925925925926
66	ESPNP	0	0.0091324200913242
67	MESP2	0	0.0087527352297593
68	CCDC18	0	0.00857142857142857
69	TRMT2A	0.004	0.0125260960334029
70	OR51T1	0.007	0.0155210643015521
71	ATM	0.001	0.00941297808357532
72	CAPN2	0.005	0.0132566930764849
73	PRRC2C	0	0.0077720207253886
74	KRT76	0.007	0.0146137787056367
75	RPF2	0	0.00757575757575758
76	S100A3	0.003	0.0104166666666667
77	FAM122C	0.0099	0.0173160173160173
78	C15orf48	0.001	0.00835073068893528
79	GSTM4	0	0.00732217573221757
80	YME1L1	0	0.0072463768115942
81	CNTRL	0	0.00703777572391801
82	RBKS	0.005	0.0119541639158729
83	IQGAP3	0	0.0069204152249135
84	NTN3	0	0.00690722506128215
85	SHC1	0.001	0.0078366703636682
86	CXorf58	0.007	0.0138297872340426
87	LMAN1L	0	0.00678083846804398
88	TOMM20L	0	0.00665188470066519
89	MAP3K15	0.004	0.0106285345799982
90	ACAD10	0	0.00658516277324327
91	PPIC	0.003	0.00949367088607595
92	TIMM10B	0.001	0.00748455410533008
93	C17orf80	0.002	0.00847867116989272
94	MYO1A	0.003	0.00940148736388827
95	TRBV20OR9-2	0.003	0.00933609958506224
96	ZNF354B	0	0.00630252100840336
97	SERPINI2	0	0.00627615062761506
98	DSC2	0.0099	0.0161290322580645
99	CAPN14	0	0.00611251509455102
100	C4orf40	0.005	0.0110619469026549
101	DNAH2	0.004	0.0100266322324949
102	PDE5A	0.002	0.00795454545454545
103	PDS5B	0	0.00588235294117647
104	STARD9	0.001	0.00682507894658256
105	CARD10	0	0.00581395348837209
106	EIF5B	0.005	0.0107066381156317
107	PCDHB13	0	0.00569066383019871
108	CCDC148	0	0.00563028385868652
109	PHRF1	0	0.00561797752808989
110	P2RX6	0.002	0.00758090700083569
111	CDKL2	0.006	0.0115303983228512
112	AC091801.1	0.005	0.0105042016806723
113	STK32C	0.004	0.00949367088607595
114	FAM111A	0.006	0.011482254697286
115	CEP78	0.001	0.00647428364819669
116	SPNS3	0.002	0.00746268656716418
117	RPL3L	0	0.00543478260869565
118	TRMT10B	0.002	0.00735760839584121
119	ASAH2	0.001	0.00635593220338983
120	RAPGEF3	0.004	0.00932516047912117
121	ZNF556	0.004	0.0093167701863354
122	PSG6	0.001	0.0062772687609075
123	ZNF138	0.001	0.00625217466945024
124	ZSCAN12	0.001	0.00624569592927334
125	ZNF559	0	0.00522575798604135
126	GP1BA	0	0.00519534855634441
127	OR2A7	0	0.00518672199170124
128	ZNF90	0	0.00518672199170124
129	CCDC27	0	0.00518458321092274
