gene	ubc.wes	cbc.wes
1	DEFB126	0.629817949791629	0.69927624872579
2	TSPAN16	0.193491972477064	0.232689776217639
3	CNTN5	0.246887966804979	0.281512605042017
4	IGHJ6	0.766806722689076	0.792735042735043
5	C14orf23	0.238738738738739	0.264467535050214
6	SMAP1	0.0655172413793104	0.0827814569536424
7	DAPP1	0.0129817889270826	0.0279365079365079
8	HCFC1	0.0151515151515152	0.0296296296296296
9	PMS2P5	0.0289256198347107	0.0427350427350427
10	PAPD7	0.037037037037037	0.0508202936513407
11	TXLNG	0.0227272727272727	0.0364077669902913
12	CCAR1	0.0355555555555556	0.0481651376146789
13	SLC20A1	0.00210970464135021	0.012987012987013
14	CACNA1G	0.00490196078431373	0.0151515151515152
15	USP35	0.00219298245614035	0.0112419020197315
16	TNNT3	0.00418410041841004	0.0127118644067797
17	BNIP1	0.0093167701863354	0.0161290322580645
18	CDC25A	0.00214592274678112	0.00869565217391304
19	AGXT	0.00561797752808989	0.0115606936416185
20	SLC4A3	0.0274926686217009	0.0330561059547398
21	NEDD4	0.00209205020920502	0.00710965781433569
22	FAM57B	0.00526315789473684	0.0101010101010101
23	RBM26	0.0154639175257732	0.02
24	FSIP1	0.00232558139534884	0.00672780675035445
25	CCDC103	0.00206611570247934	0.00635593220338983
26	SFTPB	0.0020746887966805	0.00627615062761506
27	PPP1R12C	0.00434782608695652	0.0078740157480315
28	PARP14	0.00588235294117647	0.00887573964497041
29	CAMSAP1	0.0176991150442478	0.0202702702702703
30	MCHR2	0.00238095238095238	0.00471698113207547
31	TMEM59	0.00229357798165138	0.00460839279646619
32	ABCC1	0.00427350427350427	0.00655021834061135
33	PGBD4	0.00431034482758621	0.00656512605042017
34	GARS	0.00411522633744856	0.00635593220338983
35	CAB39	0.00418410041841004	0.00635593220338983
36	VRK2	0.00209205020920502	0.0042463036422647
37	ACIN1	0.0319148936170213	0.0338983050847458
