set	n_cases_init	n_vars_init	missed_genotypes_fraction_init	n_cases_retained	p_val	n_vars_total	n_vars_tested	ma_count	n_cases_with_ma	method_for_p_assessment	rare_vars_tested	common_vars_tested	cutoff
NOC2L	483	3	0.0213940648723257	479	0.761424121137521	3	3	NA	NA	NA	3	0	0.0321744726043893
KLHL17	483	2	0.108695652173913	479	0.241693798376881	2	2	NA	NA	NA	2	0	0.0321744726043893
AGRN	483	3	0.0559006211180124	479	0.827889411713653	3	3	NA	NA	NA	3	0	0.0321744726043893
TTLL10	483	1	0.0041407867494824	479	0.345993353321691	1	NA	2	2	ER	NA	NA	NA
PUSL1	483	1	0.196687370600414	479	1	0	0	NA	NA	NA	NA	NA	NA
GLTPD1	483	1	0.0186335403726708	479	0.697622824974221	1	NA	1	1	ER	NA	NA	NA
CCNL2	483	1	0.0062111801242236	479	0.498169603903786	NA	NA	40	40	Firth	NA	NA	NA
ATAD3C	483	3	0.0427881297446515	479	0.367246001356007	3	3	NA	NA	NA	2	1	0.0321744726043893
ATAD3B	483	1	0.0124223602484472	479	0.212252255462086	1	NA	1	1	ER	NA	NA	NA
SLC35E2B	483	1	0.0786749482401656	479	0.668494524148606	1	NA	1	1	ER	NA	NA	NA
CDK11A	483	1	0.010351966873706	479	0.249112191927918	1	NA	1	1	ER	NA	NA	NA
C1orf222	483	2	0.124223602484472	479	0.303075455103718	1	1	NA	NA	NA	1	0	0.0321744726043893
GABRD	483	1	0.072463768115942	479	0.513279185197808	1	NA	15	15	ER	NA	NA	NA
PRKCZ	483	1	0.0434782608695652	479	0.23690474695019	1	NA	1	1	ER	NA	NA	NA
MORN1	483	3	0.0179434092477571	479	0.28587862711547	3	3	NA	NA	NA	3	0	0.0321744726043893
PLCH2	483	4	0.0082815734989648	479	0.311768472017499	4	4	NA	NA	NA	4	0	0.0321744726043893
MMEL1	483	3	0.0248447204968944	479	0.425457064226132	3	3	NA	NA	NA	3	0	0.0321744726043893
PRDM16	483	2	0.0859213250517598	479	0.717317483944949	1	1	NA	NA	NA	1	0	0.0321744726043893
ARHGEF16	483	2	0.0921325051759834	479	0.808612523757544	2	2	NA	NA	NA	2	0	0.0321744726043893
MEGF6	483	1	0.0124223602484472	479	0.565362250456471	NA	NA	40	39	Firth	NA	NA	NA
TPRG1L	483	1	0	479	0.20126796902246	1	NA	1	1	ER	NA	NA	NA
CCDC27	483	4	0.0025879917184265	479	0.0480368503878685	4	4	NA	NA	NA	4	0	0.0321744726043893
LRRC47	483	1	0.0020703933747412	479	0.7181215484804	1	NA	1	1	ER	NA	NA	NA
CEP104	483	3	0.00552104899930987	479	0.735276641024141	3	3	NA	NA	NA	3	0	0.0321744726043893
NPHP4	483	6	0.0241545893719807	479	0.60037766111341	6	6	NA	NA	NA	6	0	0.0321744726043893
KCNAB2	483	2	0.0082815734989648	479	0.821487155315896	2	2	NA	NA	NA	2	0	0.0321744726043893
HES3	483	1	0.0020703933747412	479	0.223178847281742	1	NA	12	11	ER	NA	NA	NA
ESPN	483	1	0.0041407867494824	479	1	0	0	NA	NA	NA	NA	NA	NA
TNFRSF25	483	1	0.020703933747412	479	0.289667965281361	NA	NA	48	47	Firth	NA	NA	NA
PLEKHG5	483	2	0.0403726708074534	479	0.0857966384052597	2	2	NA	NA	NA	2	0	0.0321744726043893
TAS1R1	483	2	0.010351966873706	479	0.108940892068252	2	2	NA	NA	NA	2	0	0.0321744726043893
CAMTA1	483	3	0.0241545893719807	479	0.630756239302068	3	3	NA	NA	NA	3	0	0.0321744726043893
PARK7	483	1	0	479	1	0	0	NA	NA	NA	NA	NA	NA
ERRFI1	483	1	0.0144927536231884	479	0.160532874628499	1	NA	1	1	ER	NA	NA	NA
SLC45A1	483	2	0.0838509316770186	479	0.758511923634131	2	2	NA	NA	NA	2	0	0.0321744726043893
CA6	483	1	0.0124223602484472	479	0.650682020286117	NA	NA	75	73	Firth	NA	NA	NA
SLC2A7	483	1	0.0082815734989648	479	0.514042350458878	1	NA	5	5	ER	NA	NA	NA
SLC2A5	483	2	0.0062111801242236	479	0.188815822651906	2	2	NA	NA	NA	2	0	0.0321744726043893
H6PD	483	5	0.00082815734989648	479	0.101384041539464	4	4	NA	NA	NA	4	0	0.0321744726043893
SLC25A33	483	1	0.0020703933747412	479	0.745314899161422	1	NA	1	1	ER	NA	NA	NA
CLSTN1	483	2	0.0020703933747412	479	0.796114208916799	2	2	NA	NA	NA	2	0	0.0321744726043893
CTNNBIP1	483	1	0.0062111801242236	479	0.751907853744072	1	NA	2	2	ER	NA	NA	NA
NMNAT1	483	1	0.0165631469979296	479	0.219043975123485	1	NA	1	1	ER	NA	NA	NA
UBE4B	483	1	0.126293995859213	479	0.3542927383135	1	NA	7	7	ER	NA	NA	NA
KIF1B	483	6	0.005175983436853	479	0.290917959048045	6	6	NA	NA	NA	6	0	0.0321744726043893
PGD	483	1	0.0020703933747412	479	0.234269927607027	1	NA	1	1	ER	NA	NA	NA
DFFA	483	2	0.0476190476190476	479	0.174194266909988	2	2	NA	NA	NA	2	0	0.0321744726043893
CASZ1	483	2	0.062111801242236	479	0.798888966956255	2	2	NA	NA	NA	2	0	0.0321744726043893
MASP2	483	5	0.0115942028985507	479	0.415632342953255	5	5	NA	NA	NA	5	0	0.0321744726043893
EXOSC10	483	1	0.0041407867494824	479	0.682500400021447	1	NA	1	1	ER	NA	NA	NA
ANGPTL7	483	1	0.153209109730849	479	0.799815281511992	1	NA	3	3	ER	NA	NA	NA
PTCHD2	483	1	0.062111801242236	479	0.0436670233144398	1	NA	9	8	ER	NA	NA	NA
AGTRAP	483	1	0.17184265010352	479	0.721143763061465	1	NA	1	1	ER	NA	NA	NA
MTHFR	483	3	0.010351966873706	479	0.192678778353589	3	3	NA	NA	NA	2	1	0.0321744726043893
CLCN6	483	2	0.0124223602484472	479	0.125307851097668	2	2	NA	NA	NA	2	0	0.0321744726043893
NPPA	483	2	0.0093167701863354	479	0.0713084453690595	2	2	NA	NA	NA	1	1	0.0321744726043893
NPPB	483	1	0.0041407867494824	479	0.161951045060054	1	NA	1	1	ER	NA	NA	NA
PLOD1	483	1	0	479	0.0908266177187858	1	NA	2	2	ER	NA	NA	NA
MFN2	483	2	0.0010351966873706	479	0.0503225103549517	2	2	NA	NA	NA	2	0	0.0321744726043893
TNFRSF8	483	1	0.0020703933747412	479	0.0493745023996192	NA	NA	21	21	Firth	NA	NA	NA
DHRS3	483	1	0	479	0.665633157471842	1	NA	1	1	ER	NA	NA	NA
AADACL4	483	2	0.0031055900621118	479	0.811900289621225	2	2	NA	NA	NA	2	0	0.0321744726043893
AADACL3	483	1	0.0393374741200828	479	0.350741001980485	NA	NA	56	55	Firth	NA	NA	NA
C1orf158	483	2	0.0020703933747412	479	0.655953654659882	2	2	NA	NA	NA	2	0	0.0321744726043893
PRAMEF12	483	3	0.0110420979986197	479	0.0825130023092822	3	3	NA	NA	NA	3	0	0.0321744726043893
PRAMEF2	483	1	0.0124223602484472	479	0.209632188304435	1	NA	1	1	ER	NA	NA	NA
PRDM2	483	2	0.010351966873706	479	0.246029739863878	2	2	NA	NA	NA	2	0	0.0321744726043893
TMEM51	483	1	0.0041407867494824	479	0.724541769317505	1	NA	1	1	ER	NA	NA	NA
FHAD1	483	7	0.0124223602484472	479	0.589000618618297	7	7	NA	NA	NA	7	0	0.0321744726043893
CTRC	483	1	0.0062111801242236	479	0.747900632321101	1	NA	2	2	ER	NA	NA	NA
CELA2A	483	1	0.0062111801242236	479	0.413370443265968	1	NA	3	3	ER	NA	NA	NA
CASP9	483	1	0.0579710144927536	479	0.476132129766433	1	NA	4	4	ER	NA	NA	NA
DNAJC16	483	2	0.0062111801242236	479	0.815944570112882	2	2	NA	NA	NA	2	0	0.0321744726043893
AGMAT	483	3	0.00966183574879227	479	0.770001019644843	3	3	NA	NA	NA	3	0	0.0321744726043893
DDI2	483	1	0.0269151138716356	479	0.225580312654621	1	NA	1	1	ER	NA	NA	NA
TMEM82	483	1	0.0331262939958592	479	0.23000012597197	1	NA	1	1	ER	NA	NA	NA
FBLIM1	483	1	0.182194616977226	479	0.213790923405187	1	NA	1	1	ER	NA	NA	NA
CLCNKA	483	2	0.0590062111801242	479	0.37755052923141	2	2	NA	NA	NA	2	0	0.0321744726043893
CLCNKB	483	1	0.0041407867494824	479	0.32341442126772	1	NA	13	13	ER	NA	NA	NA
EPHA2	483	3	0.0372670807453416	479	0.696794959886665	3	3	NA	NA	NA	3	0	0.0321744726043893
FBXO42	483	1	0.0062111801242236	479	0.7337468253857	1	NA	1	1	ER	NA	NA	NA
SPATA21	483	1	0.072463768115942	479	0.234215015833218	1	NA	1	1	ER	NA	NA	NA
MFAP2	483	1	0.0020703933747412	479	0.677010564350301	1	NA	1	1	ER	NA	NA	NA
SDHB	483	2	0.005175983436853	479	0.450320282770145	2	2	NA	NA	NA	2	0	0.0321744726043893
PADI2	483	5	0.0198757763975155	479	0.583412168897224	5	5	NA	NA	NA	5	0	0.0321744726043893
PADI1	483	2	0.0082815734989648	479	0.364456630249876	2	2	NA	NA	NA	2	0	0.0321744726043893
PADI3	483	5	0.0550724637681159	479	0.487000367518015	5	5	NA	NA	NA	4	1	0.0321744726043893
PADI4	483	7	0.023365868086365	479	0.405033260514923	7	7	NA	NA	NA	7	0	0.0321744726043893
RCC2	483	2	0.010351966873706	479	0.245319300708008	2	2	NA	NA	NA	2	0	0.0321744726043893
ARHGEF10L	483	1	0.0020703933747412	479	0.710664226479918	1	NA	1	1	ER	NA	NA	NA
ACTL8	483	1	0.0082815734989648	479	0.787203061252829	1	NA	3	3	ER	NA	NA	NA
IGSF21	483	1	0.0020703933747412	479	0.816396668914875	1	NA	4	4	ER	NA	NA	NA
TAS1R2	483	4	0.0025879917184265	479	0.547728216540215	4	4	NA	NA	NA	4	0	0.0321744726043893
ALDH4A1	483	1	0.0124223602484472	479	0.738734816985343	1	NA	1	1	ER	NA	NA	NA
EMC1	483	2	0.0590062111801242	479	0.0210462685383383	2	2	NA	NA	NA	2	0	0.0321744726043893
AKR7L	483	1	0.05175983436853	479	0.115523210237266	NA	NA	31	30	Firth	NA	NA	NA
PQLC2	483	1	0.0745341614906832	479	0.212252255462086	1	NA	1	1	ER	NA	NA	NA
TMCO4	483	7	0.0706891452233067	479	0.179050698574473	6	6	NA	NA	NA	6	0	0.0321744726043893
RNF186	483	3	0.152518978605935	479	0.208652737278075	1	1	NA	NA	NA	1	0	0.0321744726043893
OTUD3	483	1	0.031055900621118	479	0.659810210891334	1	NA	1	1	ER	NA	NA	NA
PLA2G2E	483	1	0.0062111801242236	479	0.677965932597511	1	NA	1	1	ER	NA	NA	NA
PLA2G2D	483	2	0.0113871635610766	479	0.33990694626357	2	2	NA	NA	NA	2	0	0.0321744726043893
PLA2G2F	483	1	0.0248447204968944	479	0.245935669060715	1	NA	1	1	ER	NA	NA	NA
PLA2G2C	483	1	0.0372670807453416	479	0.0202426948051683	NA	NA	148	137	Firth	NA	NA	NA
UBXN10	483	1	0.0020703933747412	479	0.137018550877545	1	NA	1	1	ER	NA	NA	NA
VWA5B1	483	3	0.0255348516218081	479	0.654956316911053	3	3	NA	NA	NA	3	0	0.0321744726043893
PINK1	483	3	0.0082815734989648	479	0.638339943209545	3	3	NA	NA	NA	3	0	0.0321744726043893
DDOST	483	1	0.0124223602484472	479	0.179550639527153	1	NA	3	3	ER	NA	NA	NA
KIF17	483	5	0.0062111801242236	479	0.782292645392864	5	5	NA	NA	NA	5	0	0.0321744726043893
ECE1	483	1	0.0165631469979296	479	0.682500400021447	1	NA	1	1	ER	NA	NA	NA
NBPF3	483	2	0.0848861283643892	479	0.620186349730583	2	2	NA	NA	NA	1	1	0.0321744726043893
ALPL	483	2	0.0124223602484472	479	0.150552665073518	2	2	NA	NA	NA	2	0	0.0321744726043893
RAP1GAP	483	1	0.0186335403726708	479	0.722951269412363	1	NA	1	1	ER	NA	NA	NA
USP48	483	1	0.0186335403726708	479	0.714078109515348	1	NA	1	1	ER	NA	NA	NA
LDLRAD2	483	1	0.0973084886128364	479	0.237599294575233	1	NA	1	1	ER	NA	NA	NA
HSPG2	483	1	0.0124223602484472	479	0.734112930858355	1	NA	1	1	ER	NA	NA	NA
CELA3B	483	1	0.020703933747412	479	0.143761730938396	1	NA	1	1	ER	NA	NA	NA
ZBTB40	483	1	0.0062111801242236	479	1	0	0	NA	NA	NA	NA	NA	NA
EPHA8	483	1	0.122153209109731	479	0.351928250729052	1	NA	2	2	ER	NA	NA	NA
C1QA	483	1	0.0124223602484472	479	0.233404729274095	1	NA	1	1	ER	NA	NA	NA
C1QB	483	2	0.0031055900621118	479	0.810420529728397	2	2	NA	NA	NA	2	0	0.0321744726043893
EPHB2	483	2	0.0600414078674948	479	0.00243852132494868	2	2	NA	NA	NA	2	0	0.0321744726043893
KDM1A	483	1	0.0848861283643892	479	0.221744630472225	1	NA	1	1	ER	NA	NA	NA
LUZP1	483	2	0.020703933747412	479	0.0453744605250646	2	2	NA	NA	NA	2	0	0.0321744726043893
ASAP3	483	3	0.0151828847481021	479	0.0121097169427209	3	3	NA	NA	NA	3	0	0.0321744726043893
TCEB3	483	1	0.0041407867494824	479	0.72157523003982	1	NA	1	1	ER	NA	NA	NA
CNR2	483	1	0.0124223602484472	479	0.222213748124594	1	NA	1	1	ER	NA	NA	NA
MYOM3	483	3	0.0269151138716356	479	0.765978011630848	3	3	NA	NA	NA	3	0	0.0321744726043893
GRHL3	483	2	0.0082815734989648	479	0.147008346559787	2	2	NA	NA	NA	2	0	0.0321744726043893
STPG1	483	1	0.020703933747412	479	0.249112191927918	1	NA	1	1	ER	NA	NA	NA
RCAN3	483	1	0.05175983436853	479	0.748225374833007	1	NA	2	2	ER	NA	NA	NA
C1orf63	483	2	0.067287784679089	479	0.730237799590595	2	2	NA	NA	NA	2	0	0.0321744726043893
TMEM57	483	1	0.0786749482401656	479	0.233184653928927	1	NA	1	1	ER	NA	NA	NA
LDLRAP1	483	2	0.0486542443064182	479	0.830579411106186	2	2	NA	NA	NA	2	0	0.0321744726043893
SEPN1	483	1	0	479	0.745913947315269	1	NA	2	2	ER	NA	NA	NA
AUNIP	483	2	0.0124223602484472	479	0.772557985630509	2	2	NA	NA	NA	2	0	0.0321744726043893
PAQR7	483	1	0.0124223602484472	479	0.785401796439622	1	NA	3	3	ER	NA	NA	NA
PAFAH2	483	4	0.015527950310559	479	0.305295972169079	4	4	NA	NA	NA	4	0	0.0321744726043893
EXTL1	483	2	0.0186335403726708	479	0.146164091550943	2	2	NA	NA	NA	2	0	0.0321744726043893
SLC30A2	483	1	0.0062111801242236	479	0.237894763082943	1	NA	1	1	ER	NA	NA	NA
