set	n_cases_init	n_vars_init	missed_genotypes_fraction_init	n_cases_retained	p_val	n_vars_total	n_vars_tested	ma_count	n_cases_with_ma	method_for_p_assessment	rare_vars_tested	common_vars_tested	cutoff
NOC2L	483	3	0.0213940648723257	479	0.858890695135127	3	3	NA	NA	NA	3	0	0.0321744726043893
KLHL17	483	2	0.108695652173913	479	0.778979979362568	2	2	NA	NA	NA	2	0	0.0321744726043893
AGRN	483	3	0.0559006211180124	479	1	3	3	NA	NA	NA	3	0	0.0321744726043893
TTLL10	483	1	0.0041407867494824	479	0.345993353321691	1	NA	2	2	ER	NA	NA	NA
PUSL1	483	1	0.196687370600414	479	1	0	0	NA	NA	NA	NA	NA	NA
GLTPD1	483	1	0.0186335403726708	479	0.697622824974221	1	NA	1	1	ER	NA	NA	NA
CCNL2	483	1	0.0062111801242236	479	0.498169603903786	NA	NA	40	40	Firth	NA	NA	NA
ATAD3C	483	3	0.0427881297446515	479	0.404436156405796	3	3	NA	NA	NA	2	1	0.0321744726043893
ATAD3B	483	1	0.0124223602484472	479	0.212252255462086	1	NA	1	1	ER	NA	NA	NA
SLC35E2B	483	1	0.0786749482401656	479	0.668494524148606	1	NA	1	1	ER	NA	NA	NA
CDK11A	483	1	0.010351966873706	479	0.249112191927918	1	NA	1	1	ER	NA	NA	NA
C1orf222	483	2	0.124223602484472	479	0.303075455103718	1	1	NA	NA	NA	1	0	0.0321744726043893
GABRD	483	1	0.072463768115942	479	0.513279185197808	1	NA	15	15	ER	NA	NA	NA
PRKCZ	483	1	0.0434782608695652	479	0.23690474695019	1	NA	1	1	ER	NA	NA	NA
MORN1	483	3	0.0179434092477571	479	0.300376161545797	3	3	NA	NA	NA	3	0	0.0321744726043893
PLCH2	483	4	0.0082815734989648	479	0.0614403339103835	4	4	NA	NA	NA	4	0	0.0321744726043893
MMEL1	483	3	0.0248447204968944	479	0.845649802236552	3	3	NA	NA	NA	3	0	0.0321744726043893
PRDM16	483	2	0.0859213250517598	479	0.717317483944949	1	1	NA	NA	NA	1	0	0.0321744726043893
ARHGEF16	483	2	0.0921325051759834	479	0.703937235484697	2	2	NA	NA	NA	2	0	0.0321744726043893
MEGF6	483	1	0.0124223602484472	479	0.565362250456471	NA	NA	40	39	Firth	NA	NA	NA
TPRG1L	483	1	0	479	0.20126796902246	1	NA	1	1	ER	NA	NA	NA
CCDC27	483	4	0.0025879917184265	479	0.71078520035033	4	4	NA	NA	NA	4	0	0.0321744726043893
LRRC47	483	1	0.0020703933747412	479	0.7181215484804	1	NA	1	1	ER	NA	NA	NA
CEP104	483	3	0.00552104899930987	479	0.277569274439914	3	3	NA	NA	NA	3	0	0.0321744726043893
NPHP4	483	6	0.0241545893719807	479	0.254092325577617	6	6	NA	NA	NA	6	0	0.0321744726043893
KCNAB2	483	2	0.0082815734989648	479	0.260950107991274	2	2	NA	NA	NA	2	0	0.0321744726043893
HES3	483	1	0.0020703933747412	479	0.223178847281742	1	NA	12	11	ER	NA	NA	NA
ESPN	483	1	0.0041407867494824	479	1	0	0	NA	NA	NA	NA	NA	NA
TNFRSF25	483	1	0.020703933747412	479	0.289667965281361	NA	NA	48	47	Firth	NA	NA	NA
PLEKHG5	483	2	0.0403726708074534	479	0.243877667466517	2	2	NA	NA	NA	2	0	0.0321744726043893
TAS1R1	483	2	0.010351966873706	479	0.34944015750986	2	2	NA	NA	NA	2	0	0.0321744726043893
CAMTA1	483	3	0.0241545893719807	479	0.429005768614441	3	3	NA	NA	NA	3	0	0.0321744726043893
PARK7	483	1	0	479	1	0	0	NA	NA	NA	NA	NA	NA
ERRFI1	483	1	0.0144927536231884	479	0.160532874628499	1	NA	1	1	ER	NA	NA	NA
SLC45A1	483	2	0.0838509316770186	479	0.758510694704727	2	2	NA	NA	NA	2	0	0.0321744726043893
CA6	483	1	0.0124223602484472	479	0.650682020286117	NA	NA	75	73	Firth	NA	NA	NA
SLC2A7	483	1	0.0082815734989648	479	0.514042350458878	1	NA	5	5	ER	NA	NA	NA
SLC2A5	483	2	0.0062111801242236	479	0.603906482236791	2	2	NA	NA	NA	2	0	0.0321744726043893
H6PD	483	5	0.00082815734989648	479	0.331361295271181	4	4	NA	NA	NA	4	0	0.0321744726043893
SLC25A33	483	1	0.0020703933747412	479	0.745314899161422	1	NA	1	1	ER	NA	NA	NA
CLSTN1	483	2	0.0020703933747412	479	0.682297975768878	2	2	NA	NA	NA	2	0	0.0321744726043893
CTNNBIP1	483	1	0.0062111801242236	479	0.751907853744072	1	NA	2	2	ER	NA	NA	NA
NMNAT1	483	1	0.0165631469979296	479	0.219043975123485	1	NA	1	1	ER	NA	NA	NA
UBE4B	483	1	0.126293995859213	479	0.3542927383135	1	NA	7	7	ER	NA	NA	NA
KIF1B	483	6	0.005175983436853	479	0.388180231593984	6	6	NA	NA	NA	6	0	0.0321744726043893
PGD	483	1	0.0020703933747412	479	0.234269927607027	1	NA	1	1	ER	NA	NA	NA
DFFA	483	2	0.0476190476190476	479	0.426842370098575	2	2	NA	NA	NA	2	0	0.0321744726043893
CASZ1	483	2	0.062111801242236	479	0.642244123547292	2	2	NA	NA	NA	2	0	0.0321744726043893
MASP2	483	5	0.0115942028985507	479	0.0666565690885978	5	5	NA	NA	NA	5	0	0.0321744726043893
EXOSC10	483	1	0.0041407867494824	479	0.682500400021447	1	NA	1	1	ER	NA	NA	NA
ANGPTL7	483	1	0.153209109730849	479	0.799815281511992	1	NA	3	3	ER	NA	NA	NA
PTCHD2	483	1	0.062111801242236	479	0.0436670233144398	1	NA	9	8	ER	NA	NA	NA
AGTRAP	483	1	0.17184265010352	479	0.721143763061465	1	NA	1	1	ER	NA	NA	NA
MTHFR	483	3	0.010351966873706	479	0.310650517216962	3	3	NA	NA	NA	2	1	0.0321744726043893
CLCN6	483	2	0.0124223602484472	479	0.334296392756185	2	2	NA	NA	NA	2	0	0.0321744726043893
NPPA	483	2	0.0093167701863354	479	0.0713084453690595	2	2	NA	NA	NA	1	1	0.0321744726043893
NPPB	483	1	0.0041407867494824	479	0.161951045060054	1	NA	1	1	ER	NA	NA	NA
PLOD1	483	1	0	479	0.0908266177187858	1	NA	2	2	ER	NA	NA	NA
MFN2	483	2	0.0010351966873706	479	0.0872265477653329	2	2	NA	NA	NA	2	0	0.0321744726043893
TNFRSF8	483	1	0.0020703933747412	479	0.0493745023996192	NA	NA	21	21	Firth	NA	NA	NA
DHRS3	483	1	0	479	0.665633157471842	1	NA	1	1	ER	NA	NA	NA
AADACL4	483	2	0.0031055900621118	479	0.793327740109326	2	2	NA	NA	NA	2	0	0.0321744726043893
AADACL3	483	1	0.0393374741200828	479	0.350741001980485	NA	NA	56	55	Firth	NA	NA	NA
C1orf158	483	2	0.0020703933747412	479	0.290864228921437	2	2	NA	NA	NA	2	0	0.0321744726043893
PRAMEF12	483	3	0.0110420979986197	479	0.324001084321966	3	3	NA	NA	NA	3	0	0.0321744726043893
PRAMEF2	483	1	0.0124223602484472	479	0.209632188304435	1	NA	1	1	ER	NA	NA	NA
PRDM2	483	2	0.010351966873706	479	0.246031518556136	2	2	NA	NA	NA	2	0	0.0321744726043893
TMEM51	483	1	0.0041407867494824	479	0.724541769317505	1	NA	1	1	ER	NA	NA	NA
FHAD1	483	7	0.0124223602484472	479	0.917295205956702	7	7	NA	NA	NA	7	0	0.0321744726043893
CTRC	483	1	0.0062111801242236	479	0.747900632321101	1	NA	2	2	ER	NA	NA	NA
CELA2A	483	1	0.0062111801242236	479	0.413370443265968	1	NA	3	3	ER	NA	NA	NA
CASP9	483	1	0.0579710144927536	479	0.476132129766433	1	NA	4	4	ER	NA	NA	NA
DNAJC16	483	2	0.0062111801242236	479	0.803385443511736	2	2	NA	NA	NA	2	0	0.0321744726043893
AGMAT	483	3	0.00966183574879227	479	0.588522781514662	3	3	NA	NA	NA	3	0	0.0321744726043893
DDI2	483	1	0.0269151138716356	479	0.225580312654621	1	NA	1	1	ER	NA	NA	NA
TMEM82	483	1	0.0331262939958592	479	0.23000012597197	1	NA	1	1	ER	NA	NA	NA
FBLIM1	483	1	0.182194616977226	479	0.213790923405187	1	NA	1	1	ER	NA	NA	NA
CLCNKA	483	2	0.0590062111801242	479	0.849184509881309	2	2	NA	NA	NA	2	0	0.0321744726043893
CLCNKB	483	1	0.0041407867494824	479	0.32341442126772	1	NA	13	13	ER	NA	NA	NA
EPHA2	483	3	0.0372670807453416	479	0.174378185444494	3	3	NA	NA	NA	3	0	0.0321744726043893
FBXO42	483	1	0.0062111801242236	479	0.7337468253857	1	NA	1	1	ER	NA	NA	NA
SPATA21	483	1	0.072463768115942	479	0.234215015833218	1	NA	1	1	ER	NA	NA	NA
MFAP2	483	1	0.0020703933747412	479	0.677010564350301	1	NA	1	1	ER	NA	NA	NA
SDHB	483	2	0.005175983436853	479	0.495364869493404	2	2	NA	NA	NA	2	0	0.0321744726043893
PADI2	483	5	0.0198757763975155	479	0.334393087989563	5	5	NA	NA	NA	5	0	0.0321744726043893
PADI1	483	2	0.0082815734989648	479	0.802022615856083	2	2	NA	NA	NA	2	0	0.0321744726043893
PADI3	483	5	0.0550724637681159	479	0.755177935364353	5	5	NA	NA	NA	4	1	0.0321744726043893
PADI4	483	7	0.023365868086365	479	0.768271750798821	7	7	NA	NA	NA	7	0	0.0321744726043893
