set	n_cases_init	n_vars_init	missed_genotypes_fraction_init	n_cases_retained	p_val	n_vars_total	n_vars_tested	ma_count	n_cases_with_ma	method_for_p_assessment	rare_vars_tested	common_vars_tested	cutoff
NOC2L	483	3	0.0213940648723257	479	0.883178321394982	3	3	3	3	ER	NA	NA	NA
KLHL17	483	2	0.108695652173913	479	0.352697020696097	2	2	2	2	ER	NA	NA	NA
AGRN	483	3	0.0559006211180124	479	0.961465633087419	3	3	22	22	ER.A	NA	NA	NA
TTLL10	483	1	0.0041407867494824	479	0.345993353321691	1	NA	2	2	ER	NA	NA	NA
PUSL1	483	1	0.196687370600414	479	1	0	0	NA	NA	NA	NA	NA	NA
GLTPD1	483	1	0.0186335403726708	479	0.697622824974221	1	NA	1	1	ER	NA	NA	NA
CCNL2	483	1	0.0062111801242236	479	0.498169603903786	NA	NA	40	40	Firth	NA	NA	NA
ATAD3C	483	3	0.0427881297446515	479	0.363819924060115	3	3	141	127	MA	NA	NA	NA
ATAD3B	483	1	0.0124223602484472	479	0.212252255462086	1	NA	1	1	ER	NA	NA	NA
SLC35E2B	483	1	0.0786749482401656	479	0.668494524148606	1	NA	1	1	ER	NA	NA	NA
CDK11A	483	1	0.010351966873706	479	0.249112191927918	1	NA	1	1	ER	NA	NA	NA
C1orf222	483	2	0.124223602484472	479	0.247963777947056	2	1	13	12	ER	NA	NA	NA
GABRD	483	1	0.072463768115942	479	0.513279185197808	1	NA	15	15	ER	NA	NA	NA
PRKCZ	483	1	0.0434782608695652	479	0.23690474695019	1	NA	1	1	ER	NA	NA	NA
MORN1	483	3	0.0179434092477571	479	0.335380542440489	3	3	18	18	ER	NA	NA	NA
PLCH2	483	4	0.0082815734989648	479	0.171878291012908	4	4	4	4	ER	NA	NA	NA
MMEL1	483	3	0.0248447204968944	479	0.465244938108448	3	3	4	4	ER	NA	NA	NA
PRDM16	483	2	0.0859213250517598	479	0.646899378515263	2	1	1	1	ER	NA	NA	NA
ARHGEF16	483	2	0.0921325051759834	479	0.834118274612721	2	2	2	2	ER	NA	NA	NA
MEGF6	483	1	0.0124223602484472	479	0.565362250456471	NA	NA	40	39	Firth	NA	NA	NA
TPRG1L	483	1	0	479	0.20126796902246	1	NA	1	1	ER	NA	NA	NA
CCDC27	483	4	0.0025879917184265	479	0.111776784997002	4	4	4	4	ER	NA	NA	NA
LRRC47	483	1	0.0020703933747412	479	0.7181215484804	1	NA	1	1	ER	NA	NA	NA
CEP104	483	3	0.00552104899930987	479	0.475293270059124	3	3	3	3	ER	NA	NA	NA
NPHP4	483	6	0.0241545893719807	479	0.345406019558499	6	6	26	24	ER.A	NA	NA	NA
KCNAB2	483	2	0.0082815734989648	479	0.291168008135481	2	2	2	2	ER	NA	NA	NA
HES3	483	1	0.0020703933747412	479	0.223178847281742	1	NA	12	11	ER	NA	NA	NA
ESPN	483	1	0.0041407867494824	479	1	0	0	NA	NA	NA	NA	NA	NA
TNFRSF25	483	1	0.020703933747412	479	0.289667965281361	NA	NA	48	47	Firth	NA	NA	NA
PLEKHG5	483	2	0.0403726708074534	479	0.109265076640844	2	2	7	7	ER	NA	NA	NA
TAS1R1	483	2	0.010351966873706	479	0.122274726680283	2	2	2	2	ER	NA	NA	NA
CAMTA1	483	3	0.0241545893719807	479	0.631366618562202	3	3	3	3	ER	NA	NA	NA
PARK7	483	1	0	479	1	0	0	NA	NA	NA	NA	NA	NA
ERRFI1	483	1	0.0144927536231884	479	0.160532874628499	1	NA	1	1	ER	NA	NA	NA
SLC45A1	483	2	0.0838509316770186	479	0.713738732174332	2	2	2	1	ER	NA	NA	NA
CA6	483	1	0.0124223602484472	479	0.650682020286117	NA	NA	75	73	Firth	NA	NA	NA
SLC2A7	483	1	0.0082815734989648	479	0.514042350458878	1	NA	5	5	ER	NA	NA	NA
SLC2A5	483	2	0.0062111801242236	479	0.596892005041207	2	2	2	2	ER	NA	NA	NA
H6PD	483	5	0.00082815734989648	479	0.0932558265331263	5	4	5	5	ER	NA	NA	NA
SLC25A33	483	1	0.0020703933747412	479	0.745314899161422	1	NA	1	1	ER	NA	NA	NA
CLSTN1	483	2	0.0020703933747412	479	0.924151467015424	2	2	9	9	ER	NA	NA	NA
CTNNBIP1	483	1	0.0062111801242236	479	0.751907853744072	1	NA	2	2	ER	NA	NA	NA
NMNAT1	483	1	0.0165631469979296	479	0.219043975123485	1	NA	1	1	ER	NA	NA	NA
UBE4B	483	1	0.126293995859213	479	0.3542927383135	1	NA	7	7	ER	NA	NA	NA
KIF1B	483	6	0.005175983436853	479	0.667568375322114	6	6	26	25	ER.A	NA	NA	NA
PGD	483	1	0.0020703933747412	479	0.234269927607027	1	NA	1	1	ER	NA	NA	NA
DFFA	483	2	0.0476190476190476	479	0.253375921125016	2	2	3	3	ER	NA	NA	NA
CASZ1	483	2	0.062111801242236	479	0.838700925772617	2	2	2	2	ER	NA	NA	NA
MASP2	483	5	0.0115942028985507	479	0.107380529580009	5	5	33	31	ER.A	NA	NA	NA
