set	n_cases_init	n_vars_init	missed_genotypes_fraction_init	n_cases_retained	n_vars_retained	n_vars_retained_cr	burden_skatw	burden_mbw	burden_lw	skat_skatw	skat_mbw	skat_lw	skato_skatw	skato_mbw	skato_lw	cr_skat	cr_burden	min_p
NOC2L	483	3	0.0213940648723257	479	3	3	0.781374925100814	0.781374925100814	0.781374925100814	0.883178321394982	0.883178321394982	0.883178321394982	0.883178321394982	0.883178321394982	0.883178321394982	0.858890695135127	0.761424121137521	0.761424121137521
KLHL17	483	2	0.108695652173913	479	2	2	0.352697020696097	0.352697020696097	0.352697020696097	0.848557021428087	0.848557021428087	0.848557021428087	0.352697020696097	0.352697020696097	0.352697020696097	0.778979979362568	0.241693798376881	0.241693798376881
AGRN	483	3	0.0559006211180124	479	3	3	0.787229924905186	0.941403454575443	0.749563658178926	0.888184219693439	0.888184219693439	0.888184219693439	0.889823952702106	0.961465633087419	0.889823952702106	1	0.827889411713653	0.749563658178926
TTLL10	483	1	0.0041407867494824	479	1	1	0.345993353321691	0.345993353321691	0.345993353321691	0.345993353321691	0.345993353321691	0.345993353321691	0.345993353321691	0.345993353321691	0.345993353321691	0.345993353321691	0.345993353321691	0.345993353321691
PUSL1	483	1	0.196687370600414	479	0	0	1	1	1	1	1	1	1	1	1	1	1	1
GLTPD1	483	1	0.0186335403726708	479	1	1	0.697622824974221	0.697622824974221	0.697622824974221	0.697622824974221	0.697622824974221	0.697622824974221	0.697622824974221	0.697622824974221	0.697622824974221	0.697622824974221	0.697622824974221	0.697622824974221
CCNL2	483	1	0.0062111801242236	479	NA	NA	0.498169603903786	0.498169603903786	0.498169603903786	0.498169603903786	0.498169603903786	0.498169603903786	0.498169603903786	0.498169603903786	0.498169603903786	0.498169603903786	0.498169603903786	0.498169603903786
ATAD3C	483	3	0.0427881297446515	479	3	3	0.642525580363794	0.252176625542618	0.733094438623061	0.837487968516428	0.497437813528148	0.842406707411264	0.828780672219031	0.363819924060115	0.892691330875309	0.404436156405796	0.367246001356007	0.252176625542618
ATAD3B	483	1	0.0124223602484472	479	1	1	0.212252255462086	0.212252255462086	0.212252255462086	0.212252255462086	0.212252255462086	0.212252255462086	0.212252255462086	0.212252255462086	0.212252255462086	0.212252255462086	0.212252255462086	0.212252255462086
SLC35E2B	483	1	0.0786749482401656	479	1	1	0.668494524148606	0.668494524148606	0.668494524148606	0.668494524148606	0.668494524148606	0.668494524148606	0.668494524148606	0.668494524148606	0.668494524148606	0.668494524148606	0.668494524148606	0.668494524148606
