gene	eur.1k	all.1k
1	B3GNT6	3	3
2	COPZ2	2.9891	2.989816681
3	AGAP3	2	1.997803681
4	PPP1R9B	2	2
5	ZNF598	2	1.999002
6	RYK	1.995	1.997205
7	ZFPM1	1.995	1.949281801
8	PRB3	1.4951	1.334464043
9	MMP28	1.001	1.000199681
10	CTD-3193O13.9	1	0.999601
11	KMT2B	1	1
12	MAPK8IP2	1	1
13	OPLAH	1	1.000399362
14	PLCD3	1	0.999999681
15	PRDM15	1	1.001996803
16	SRRM3	1	0.9998
17	PCSK6	0.999	0.993011
18	FOXD1	0.9811	0.984624722
19	OR2L8	0.9453	0.75019997
20	TRIM51GP	0.8201	0.708466
21	RP11-17M16.1	0.7873	0.791933
22	SLC35G6	0.7734	0.746406
23	FAM58A	0.7614	1
24	OR4X1	0.7465	0.604632362
25	HLA-DRB1	0.6849	0.694289
26	PITRM1	0.6819	0.619609084
27	OR8K1	0.673	0.779952
28	CRIPAK	0.6609	0.485223202
29	RP11-181C3.1	0.6183	0.785942
30	NBPF11	0.6004	0.603435
31	CCDC144CP	0.5964	0.473442681
32	OR5K3	0.5964	0.329871722
33	OR5K4	0.5875	0.336062
34	PATE4	0.5775	0.492812
35	KLK12	0.5656	0.534145
36	OR2T35	0.5617	0.361421925
37	CLDN5	0.5567	0.496805
38	HLA-DRB5	0.5487	0.55331473
39	RP11-640M9.2	0.5288	0.560903
40	POMZP3	0.5249	0.52056685
41	TNFAIP6	0.5189	0.491413722
42	ATP6V1B1	0.4473	0.369009681
43	FUT2	0.4424	0.33306679
44	TRBV10-1	0.4384	0.249201042
45	TDG	0.4324	0.472244
46	TGIF1	0.4304	0.255790681
47	OR6C1	0.4264	0.328874
48	ADCK5	0.4205	0.626997
49	NUP153	0.4105	0.416534
50	MUC2	0.4085	0.407548102
51	OR52E8	0.4085	0.3748
52	SSPO	0.3996	0.792132714
53	OR51Q1	0.3986	0.454073681
54	VPS13B	0.3748	0.375000086
55	FSIP2	0.3628	0.339656085
56	THAP6	0.331	0.486422
57	GRIN3B	0.2953	0.166732857
58	STK38	0.2913	0.273363
59	CATSPER2	0.2873	0.452476043
60	GSTT2	0.2873	0.271965
61	DCAF15	0.2843	0.304313
62	CCDC129	0.2773	0.361221809
63	RP11-758M4.1	0.2753	0.266374
64	SLC17A5	0.2644	0.170327361
65	OR5AC2	0.2376	0.125799081
66	PTPRQ	0.2366	0.124600441
67	MROH6	0.2257	0.144169675
68	TPSD1	0.2217	0.268570723
69	KISS1	0.2167	0.222044681
70	KRTAP10-6	0.2107	0.217252403
71	KRTAP9-1	0.2058	0.15035914
72	TLR8	0.2048	0.463841
73	NBPF16	0.2038	0.155750722
74	DBI	0.1998	0.160542681
75	PRAM1	0.1998	0.311901
76	PSG1	0.1948	0.088258781
77	SLC2A4	0.1879	0.125
78	KRT37	0.1759	0.173123404
79	AC025278.1	0.175	0.152356681
80	LZTR1	0.166	0.180311085
81	AVPI1	0.16	0.21685297
82	CREM	0.1491	0.103035
83	LGALS9B	0.1481	0.166334361
84	H6PD	0.1471	0.108227
85	ZC3H3	0.1461	0.111821
86	SKA3	0.1412	0.139577042
87	IGHV4-4	0.1392	0.126197681
88	AQP12B	0.1372	0.232029
89	SPERT	0.1362	0.13158954
90	GABBR1	0.1272	0.091254
91	OR11H12	0.1203	0.114815806
92	PIP5K1C	0.1203	0.091254
93	RP11-167N24.6	0.1173	0.167931
94	RGL2	0.1153	0.123003681
95	ACTL7B	0.1074	0.070287561
96	IL34	0.1044	0.0599042
97	PRAMEF4	0.1044	0.063698065
98	C4orf6	0.1014	0.195487681
99	PSORS1C2	0.1014	0.053714042
100	ZRANB1	0.1004	0.0658946
