gene	eur.1k	ubc.wes	cbc.wes
1	C19orf55	1	0.00277777777777778	0
2	PRSS48	1.3648	0.438271604938272	0.390557939914163
3	ZAN	0.9145	0.0671382081146211	0.052186247495719
4	LINC00955	1.3658	0.648148148148148	0.625523012552301
5	MS4A14	1.3112	0.644417144417144	0.634703196347032
6	CELA1	0.9285	0.292792792792793	0.26
7	AL133373.1	0.4901	0.00836820083682008	0.00427350427350427
8	OR7G3	0.3588	0.051440329218107	0.045842050209205
9	MICA	0.2922	0.0571326472269869	0.0298013245033113
10	PDE4DIP	0.8867	0.728600823045267	0.651114000207958
11	PVRIG	0.2336	0.003125	0
12	TBC1D31	0.1978	0.0193548387096774	0.0112922642101957
13	CNTNAP3B	0.178	0.0133333333333333	0.00228310502283105
14	TMEM78	0.1431	0.0377358490566038	0.0289016722980198
15	IGLV3-12	0.4215	0.355450236966825	0.319306930693069
16	GNRH2	0.1014	0.00252525252525253	0
17	SCRN3	0.3817	0.33974358974359	0.302575107296137
18	ANKRD30A	0.0875	0.0154718959921162	0.0113636363636364
19	PGC	0.4494	0.401319593238785	0.380240588107721
20	DHDH	0.3349	0.299731303179579	0.274018227752605
21	RP11-1396O13.13	0.176	0.132505743973115	0.117895259369571
22	OR51F1	0.2714	0.234674790230346	0.217299578059072
23	IGLV4-60	0.4225	0.398760330578512	0.375109745390694
24	SLC22A10	0.5577	0.523830581761006	0.512315270935961
25	OR52N4	0.2783	0.266816143497758	0.23943661971831
26	RSPH10B2	0.0408	0.0103734439834025	0.00210970464135021
27	HYKK	0.0437	0.0148305084745763	0.00646551724137931
28	OR2V2	0.0746	0.0596707818930041	0.0376569037656904
29	IGLV3-16	0.6213	0.605781017424043	0.584615384615385
30	FRG1B	0.0696	0.0382775119617225	0.0333333333333333
31	GSDMB	0.4652	0.455508474576271	0.429515418502203
32	WDR41	0.659	0.653844626655284	0.623417721518987
33	TCTEX1D1	0.1511	0.130331753554502	0.115577889447236
34	ZNF80	0.2813	0.272727272727273	0.246808510638298
35	KCNMB3	0.0775	0.0702702702702703	0.0431034482758621
36	LCE1D	0.0318	0.00316455696202532	0
37	MDP1	0.0686	0.0546218487394958	0.037117903930131
38	OR4P4	0.165	0.15625	0.133663366336634
39	SPATA4	0.1402	0.123873873873874	0.110066400833341
40	CAPN11	0.0766	0.0546448087431694	0.0481927710843374
41	GAB4	0.3698	0.357438016528926	0.341772151898734
42	SLFN12L	0.1114	0.086751351902867	0.0836907984951303
43	COL6A5	0.8082	0.79178039871616	0.781580927022523
44	FCN3	0.0288	0.0207543443917852	0.00231481481481481
45	FOLR3	0.0865	0.0692640692640693	0.0601360544217687
46	KRT24	0.4563	0.447435764429228	0.430735930735931
47	OR6Q1	0.2048	0.186974789915966	0.179487179487179
48	LPL	0.1302	0.121338912133891	0.105042016806723
49	CCDC125	0.0378	0.0185185185185185	0.0127118644067797
50	UPP2	0.0388	0.0311004784688995	0.0146341463414634
51	EPSTI1	0.0358	0.023306659670296	0.0126582278481013
52	CHMP4C	0.0765	0.0647058823529412	0.0549132947976879
53	OR52B4	0.3499	0.338495575221239	0.331111111111111
54	FAM186A	0.0279	0.0120997494827203	0.00940514646098402
55	TMPRSS3	0.0865	0.0805785123966942	0.0680851063829787
56	LSAMP	0.0378	0.023696682464455	0.0195121951219512
57	KRT83	0.0308	0.0164609053497942	0.0126050420168067
58	RP11-114H24.2	0.9483	0.938271604938272	0.930962343096234
59	OR2J1	0.5815	0.572916666666667	0.565126050420168
60	OR1J1	0.0239	0.0164609053497942	0.00836864406779661
61	FCRL6	0.1452	0.136363636363636	0.129707112970711
62	C3orf72	0.0278	0.0185185185185185	0.0125523012552301
63	CCDC39	0.0219	0.0110619469026549	0.00666666666666667
64	ZNF100	0.0209	0.0145228215767635	0.0063386524822695
65	SIGLEC12	0.8738	0.863813329235183	0.859448199406358
66	PKHD1L1	0.0616	0.0575088379808297	0.0474551039198181
67	SDR42E1	0.1511	0.145569620253165	0.13695652173913
68	PSG9	0.0825	0.0748058687374001	0.0692848020434227
69	TGM4	0.0129	0.00637905604719764	0
70	PIWIL3	0.0169	0.00829875518672199	0.00425531914893617
71	SYTL2	0.0169	0.00835076708507671	0.00427350427350427
72	GDPD4	0.3718	0.365848753016895	0.359243697478992
73	TLR5	0.0606	0.0578512396694215	0.0485232067510548
74	ZNF208	0.0119	0.00652173913043478	0
75	EFCAB3	0.0159	0.00836820083682008	0.00432900432900433
76	PEBP4	0.3231	0.319767441860465	0.311797752808989
77	FAM81B	0.0517	0.043225315354502	0.0406326648391286
78	CES5A	0.1253	0.120336442371752	0.11439604759024
79	GPR144	0.0109	0.00756657742708187	0
80	TRIM64B	0.0109	0.00411522633744856	0
81	CHP2	0.0129	0.00617283950617284	0.00209205020920502
82	AEBP1	0.01	0.00622406639004149	0
83	OR51I1	0.0318	0.0258215962441315	0.0220588235294118
84	LOXHD1	0.0388	0.0329218106995885	0.029535864978903
85	KRTAP4-7	0.0149	0.00862068965517241	0.00586757519443871
86	CCDC183	0.009	0.00435969368413072	0
87	TTC40	0.011	0.00618984457368296	0.00210084033613445
88	DCAKD	0.0149	0.012396694214876	0.00632911392405063
89	PTTG2	0.0189	0.0147679324894515	0.0106837606837607
90	LPA	0.0447	0.0405712431028887	0.0368663594470046
91	PSMB11	0.0099	0.00669642857142857	0.00216450216450216
92	EXTL1	0.007	0.00427350427350427	0
93	IGLV4-69	0.007	0.00421940928270042	0
94	PHKB	0.007	0.00421203844926045	0
