Gene	M	P.SKAT
1	POMT1	2	0.000889
2	ACAD10	4	0.00738
3	PRR21	4	0.00748
4	FCN3	2	0.00789
5	ZSCAN12	3	0.00878
6	IDI2	3	0.0108
7	RABEPK	2	0.0123
8	PAPSS1	3	0.0153
9	CCDC27	4	0.0162
10	OR52M1	2	0.0163
11	ZNF559	3	0.0174
12	DENND2D	2	0.026
13	SFTPB	2	0.0265
14	DUOX1	4	0.0299
15	PYGM	2	0.0304
16	RP1L1	3	0.0305
17	OR4C5	5	0.0306
18	VPS13A	3	0.0317
19	NT5DC3	2	0.0324
20	ZNF268	4	0.0326
21	SPZ1	2	0.0328
22	NEB	4	0.0364
23	ATG4C	2	0.0384
24	MUC6	2	0.0384
25	C9orf43	3	0.0389
26	AHNAK2	3	0.0394
27	TMPRSS15	2	0.0396
28	CCDC40	2	0.0404
29	ANO5	3	0.0408
30	TGM4	2	0.0417
31	KIAA0825	2	0.0417
32	TNFSF18	2	0.0428
33	FAM227B	2	0.0428
34	C5orf45	3	0.0429
35	CENPH	2	0.0439
36	TOMM20L	2	0.046
37	DEFB126	2	0.0473
38	C2CD3	4	0.0477
39	BCKDHA	3	0.0479
40	CHAC2	2	0.0491
41	OR10AD1	2	0.0506
42	TRPM4	2	0.0518
43	RBM44	2	0.0528
44	PCDHGA12	3	0.056
45	ZNF77	2	0.0572
46	DRC1	3	0.0586
47	OR8K3	2	0.0601
48	MICA	2	0.0616
49	TLR10	2	0.063
50	DEFB128	2	0.0636
51	XIRP2	5	0.0662
52	SPATA31E1	2	0.0699
53	NREP	2	0.07
54	PIEZO2	2	0.0718
55	SRA1	2	0.0742
56	MMP1	4	0.0746
57	APOL3	2	0.0749
58	MGAM	2	0.0757
59	SLC5A4	2	0.0789
60	ARHGEF38	3	0.079
61	FER1L6	3	0.0796
62	ACOT8	2	0.0816
63	VPS41	2	0.0838
64	CSNK1A1L	2	0.0844
65	HNF4G	2	0.0856
66	IFLTD1	2	0.0856
67	SLC8B1	2	0.0857
68	PLEKHG4	4	0.0871
69	WDR87	5	0.0881
70	TCHP	2	0.0896
71	GPRC6A	4	0.09
72	MYO1A	5	0.0913
73	ZNF527	2	0.0941
74	KIAA1407	2	0.0949
75	LRRIQ3	2	0.096
76	ULK4	2	0.0969
77	MYO1D	2	0.101
78	TBC1D17	2	0.101
79	RIPK3	2	0.103
80	DQX1	2	0.106
81	AKAP3	2	0.106
82	EPX	3	0.107
83	ACACB	2	0.109
84	AUNIP	3	0.111
85	LECT1	2	0.112
86	RETSAT	2	0.115
87	IGSF10	5	0.116
88	CES5A	4	0.117
89	TJP2	2	0.119
90	SLC22A24	3	0.119
91	PDHX	2	0.12
92	CDH26	2	0.122
93	OR6P1	2	0.124
94	CPB1	2	0.124
95	LRRC70	2	0.125
96	ZNF211	3	0.125
97	ZNF571	3	0.126
98	NIPSNAP3B	2	0.127
99	USP35	2	0.128
100	LRRC42	2	0.13
101	TTC24	2	0.132
102	TMEM171	2	0.132
103	PKHD1	3	0.132
104	CLEC4C	2	0.132
105	CTSW	3	0.133
106	PADI2	2	0.135
107	GUF1	3	0.135
108	GPR144	2	0.136
109	DSCR8	2	0.136
110	ZBED6CL	2	0.137
111	CEP89	3	0.138
112	PRKD1	2	0.14
113	MYOC	2	0.141
114	OR1J1	2	0.141
115	CCDC176	2	0.144
116	NIPSNAP3A	2	0.146
117	PCK2	4	0.146
118	C10orf88	2	0.147
119	DNAH10	2	0.149
120	ABHD12B	2	0.149
121	GBP4	3	0.151
122	VWA7	2	0.152
123	FGGY	3	0.153
124	C4orf47	2	0.154
125	B4GALNT3	2	0.155
126	CEP95	2	0.155
127	KRT36	3	0.156
128	TTLL6	5	0.156
129	OVCH1	2	0.157
130	ZNF846	2	0.157
131	OBSCN	3	0.158
132	OR2T4	2	0.163
133	SYNE1	2	0.164
134	MDC1	3	0.165
135	CCDC127	2	0.166
136	MYOM2	2	0.166
137	TTC21B	2	0.167
138	ZNF568	3	0.167
139	FAH	2	0.168
140	MMP10	3	0.169
141	DNAH2	3	0.17
142	MOCOS	2	0.172
143	ZNF493	2	0.172
144	FANCM	2	0.178
145	LAMC3	2	0.179
146	CEP164	4	0.179
147	PROK2	2	0.18
148	C6orf222	2	0.181
149	MYH7B	2	0.181
150	CCDC144A	2	0.183
151	ZNF100	2	0.183
152	CD33	2	0.184
153	RESP18	2	0.187
154	NIFK	2	0.188
155	PIGG	2	0.188
156	PDE3B	2	0.189
157	N4BP2L2	2	0.19
158	HS1BP3	2	0.192
159	C11orf65	2	0.192
160	PTGR2	2	0.192
161	PSG8	2	0.192
162	XDH	2	0.193
163	MYH6	2	0.194
164	AMY2B	2	0.195
165	MUC21	2	0.195
166	ABCB5	4	0.196
167	CCDC73	2	0.196
168	CLEC12A	2	0.196
169	ABCA8	3	0.196
170	ARHGAP40	2	0.196
171	GNPTAB	2	0.198
172	ABCG8	2	0.199
173	TCEB3B	2	0.201
174	CCDC183	2	0.202
