gene	eur.1k	ubc.wes	cbc.wes
1	TRBV3-1	0.001	1.02619970524701	1.03892728960195
2	ZNF880	0	0.40948275862069	0.424778761061947
3	ZNF527	0	0.264705882352941	0.340425531914894
4	C7orf55-LUC7L2	0.002	0.171945701357466	0.190366972477064
5	OR4A16	0.0099	0.0465116279069767	0.0800970873786408
6	MKI67	0	0.0372093023255814	0.0526138880101234
7	PRAMEF2	0	0.037344398340249	0.0487378290659935
8	ZNF595	0	0.029045643153527	0.0485232067510548
9	GJB4	0.002	0.0432098765432099	0.0458508403361345
10	HOMEZ	0	0.0230769230769231	0.0403225806451613
11	CTAGE6	0.001	0.0319148936170213	0.0340909090909091
12	LRRIQ3	0.002	0.015625	0.0333141806481269
13	ATG4C	0.006	0.0190839694656489	0.0370915634073529
14	PRAMEF12	0.005	0.0246913580246914	0.0275423728813559
15	SLC25A2	0.003	0.0123456790123457	0.0252100840336134
16	MNS1	0.002	0.0123452667200997	0.0222772277227723
17	RTKN2	0.001	0.003125	0.0210843373493976
18	ABHD12B	0.008	0.0113122171945701	0.0246501820969906
19	COL23A1	0.004	0.0123456790123457	0.0200043755298493
20	TGFBR2	0	0.00769230769230769	0.0157068062827225
21	LRP1	0.001	0.00625	0.0166666666666667
22	CCT6B	0.007	0.0199654775604143	0.0217749529190207
23	NOP2	0	0.00980392156862745	0.0136363636363636
24	ESPNP	0	0.00485436893203883	0.0129310344827586
25	CGNL1	0	0.0101522842639594	0.0128205128205128
26	PPP2R5A	0	0.00662251655629139	0.0123456790123457
27	CXorf58	0.007	0.00843881856540084	0.01931330472103
28	SLC22A25	0.005	0.0131196737394918	0.017261255409958
29	KRT76	0.007	0.0102880658436214	0.0190677966101695
30	CCDC18	0	0.00549450549450549	0.0119047619047619
31	MYO1A	0.003	0.00418410041841004	0.0146886711360568
32	ATM	0.001	0.00630318870728304	0.0125613120625614
33	MESP2	0	0.00652173913043478	0.0110132158590308
34	TRMT2A	0.004	0.0103734439834025	0.0147058823529412
35	TIMM10B	0.001	0.0040650406504065	0.0110430700142886
36	CAPN2	0.005	0.011792071197411	0.0147058823529412
37	ASAH2	0.001	0.00210970464135021	0.0106382978723404
38	CARD10	0	0.00284090909090909	0.00892857142857143
39	FAM111A	0.006	0.00826446280991736	0.0147679324894515
40	TRMT10B	0.002	0.00418410041841004	0.0105856672407021
41	ZNF559	0	0.00206611570247934	0.00846563684474004
42	ZNF354B	0	0.00418410041841004	0.00843881856540084
43	CCDC148	0	0.0031055900621118	0.00806277056277056
44	RBKS	0.005	0.0108601543384152	0.0130434782608696
45	DSC2	0.0099	0.0148936170212766	0.0173913043478261
46	RNASEL	0.003	0.004149377593361	0.0104866946778711
47	CAPN14	0	0.00496458991291033	0.00728810042535533
48	GPR98	0	0.00206611570247934	0.00714285714285714
49	ZNF648	0.002	0.00403225806451613	0.00909090909090909
50	RPL3L	0	0.00429184549356223	0.0066079295154185
51	C9orf85	0	0.00225225225225225	0.00659655471370952
52	ACOT8	0.002	0.00434782608695652	0.00854950675922543
53	SPNS3	0.002	0.00638297872340425	0.00854700854700855
54	CEP78	0.001	0.00543478260869565	0.00753562294483011
55	NUDT7	0.002	0.00411522633744856	0.00853466386554622
56	CXCR1	0.004	0.00625	0.0105220054123344
57	HHIPL2	0	0.00206611570247934	0.00646752022694948
58	TMTC1	0	0.00216450216450216	0.00643776824034335
59	PSG6	0.001	0.00543478260869565	0.00716020969185526
60	DZIP3	0.001	0.00228310502283105	0.00699847859161052
61	PRSS57	0.004	0.00707547169811321	0.00995024875621891
62	CLHC1	0.0089	0.00995024875621891	0.0147783251231527
63	BCAP29	0.001	0.00222222222222222	0.00669642857142857
64	ZNF813	0.007	0.0103305785123967	0.0126582278481013
65	TPPP2	0.001	0.00429572271386431	0.00665515918680476
66	CHEK2	0.005	0.00627615062761506	0.0104954115537428
67	MAGEC1	0.003	0.00617283950617284	0.00840350970111046
68	MICALCL	0.001	0.00209205020920502	0.00637488219746621
69	FAM71E1	0.001	0.00411522633744856	0.00635593220338983
70	ERCC2	0.001	0.00206611570247934	0.00631213567929049
71	DUOX1	0.001	0.00289017341040462	0.00631153461313608
72	ZNF506	0.001	0.00205761316872428	0.00630252100840336
73	SERGEF	0.001	0.00205761316872428	0.00627615062761506
74	C2orf53	0.001	0.00205761316872428	0.00625
75	TTN	0.004	0.00709317149165386	0.00917472291263195
76	ANKAR	0.001	0.00220264317180617	0.00617089714006014
77	FCRL3	0.002	0.00436477748193229	0.00706214689265537
78	HORMAD2	0	0.00212765957446809	0.00497512437810945
79	NUDT9	0	0.0024390243902439	0.00497512437810945
