Gene	Estimate	SE	P.Wald	P.LRT	P.Score
1	TMEM97	-2.254	0.757	0.00291	0.00014	0.000352
2	POMT1	-0.64	0.2	0.00133	0.00105	0.00115
3	FAM171B	-2.387	1.06	0.0243	0.00281	0.00549
4	FCN3	-2.219	1.058	0.036	0.00654	0.0112
5	IGSF5	1.547	0.648	0.0169	0.00686	0.00901
6	WDR63	0.728	0.292	0.0125	0.0101	0.0107
7	CACNA1E	-0.752	0.301	0.0124	0.0104	0.011
8	CLTCL1	-0.417	0.169	0.0137	0.0111	0.0118
9	PGPEP1L	0.303	0.127	0.017	0.0164	0.0166
10	C1orf220	0.345	0.145	0.0175	0.0168	0.017
11	ZSCAN31	-1.97	1.074	0.0665	0.0237	0.0328
12	RTKN2	1.959	1.074	0.0682	0.0247	0.0343
13	C9orf43	-0.49	0.224	0.0289	0.0266	0.0274
14	FAM228B	-0.672	0.321	0.0362	0.0271	0.0298
15	MMP1	-1.014	0.489	0.0382	0.0285	0.0315
16	ZNF233	0.42	0.197	0.0333	0.0311	0.0317
17	IK	-0.816	0.403	0.0426	0.0362	0.0383
18	CHDC2	0.544	0.267	0.0414	0.0381	0.0392
19	PDE4DIP	-0.212	0.103	0.0393	0.0381	0.0385
20	GBP3	-0.734	0.367	0.0453	0.0397	0.0415
21	OR8U1	-1.86	1.086	0.0867	0.0399	0.0503
22	PDE5A	-1.861	1.088	0.0871	0.0404	0.0509
23	GSG1	-1.853	1.085	0.0878	0.0406	0.0512
24	TLX1NB	1.844	1.086	0.0896	0.042	0.053
25	IFNK	0.849	0.437	0.052	0.0437	0.0464
26	XIRP2	-1.826	1.086	0.0927	0.0442	0.0558
27	CTU2	-0.204	0.102	0.0449	0.0444	0.0446
28	GSTM4	-1.81	1.085	0.0952	0.0459	0.058
29	MROH5	-0.293	0.148	0.0476	0.0463	0.0467
30	TNFRSF10C	-1.803	1.084	0.0963	0.0466	0.0589
31	OR4A16	0.585	0.3	0.0512	0.0479	0.0489
32	SLC20A1	1.8	1.089	0.0982	0.0487	0.0614
33	PCK2	1.788	1.085	0.0994	0.0491	0.0621
34	CALML4	1.431	0.81	0.0772	0.0495	0.0576
35	PRSS48	-0.264	0.135	0.0515	0.0505	0.0508
36	CNTNAP3B	-1.787	1.091	0.101	0.0513	0.0647
37	CCDC150	-0.85	0.465	0.0675	0.0573	0.0607
38	CPN2	-0.248	0.132	0.0594	0.0584	0.0588
39	OR5B3	-0.68	0.369	0.0655	0.0593	0.0615
40	OR6C74	0.257	0.139	0.0633	0.0622	0.0625
41	SON	-0.467	0.297	0.116	0.0634	0.0758
42	WNK1	-0.887	0.5	0.0761	0.0645	0.0682
43	MYO1A	1.369	0.815	0.0932	0.0652	0.0721
44	NPPA	-0.316	0.174	0.069	0.0668	0.0676
45	MICA	-0.712	0.407	0.0801	0.0696	0.0731
46	ZNF77	0.549	0.308	0.0747	0.07	0.0714
47	SLC5A4	-0.919	0.6	0.125	0.0704	0.0852
48	GABPB1	-1.54	1.055	0.144	0.0718	0.0951
49	ADAM33	0.709	0.409	0.0832	0.0731	0.0761
50	GOT1L1	-1.134	0.68	0.0955	0.0735	0.0804
51	ZNF99	-0.427	0.244	0.0796	0.0758	0.0772
52	ULK4	1.684	1.103	0.127	0.0759	0.0883
53	C3orf35	0.663	0.382	0.0826	0.0766	0.0785
54	RIPK3	-1.676	1.103	0.128	0.0774	0.09
55	CDRT1	-1.683	1.107	0.129	0.0779	0.0908
56	CALHM2	-0.909	0.542	0.0938	0.0797	0.0841
57	AFP	-1.667	1.104	0.131	0.0798	0.0928
58	ZNF543	-1.657	1.102	0.133	0.0809	0.0941
59	OR6P1	-1.657	1.102	0.133	0.081	0.0943
60	C11orf40	-0.197	0.113	0.0831	0.0818	0.0822
61	PLA2G2C	-0.307	0.178	0.084	0.0823	0.0829
62	EPX	-1.096	0.677	0.106	0.0831	0.0905
63	PPP1R3A	1.644	1.101	0.135	0.0833	0.097
64	BTN3A2	-0.64	0.381	0.0931	0.0843	0.0874
65	LRRIQ3	0.839	0.504	0.0965	0.0848	0.0882
66	PZP	-1.634	1.101	0.138	0.0851	0.0991
67	ZNF720	0.22	0.128	0.0864	0.0854	0.0857
68	RPEL1	1.632	1.1	0.138	0.0855	0.0995
69	ADAM2	-1.632	1.101	0.138	0.0858	0.0999
70	ZC3H8	-1.629	1.1	0.139	0.086	0.1
71	RABEPK	1.665	1.118	0.137	0.0861	0.0999
72	TAS2R46	0.294	0.172	0.0874	0.0865	0.0867
73	TRBV20OR9-2	-1.269	0.81	0.117	0.0866	0.0959
74	OCM	1.628	1.102	0.14	0.0874	0.102
75	VWA7	0.535	0.318	0.0927	0.0875	0.0892
76	ASAH2	1.619	1.1	0.141	0.0882	0.103
77	DEFB128	-0.672	0.404	0.0961	0.0885	0.0911
78	RSPH10B2	-1.618	1.102	0.142	0.0892	0.104
79	SOSTDC1	1.617	1.101	0.142	0.0893	0.104
80	USP35	1.609	1.103	0.145	0.0916	0.107
81	OR52J3	-0.363	0.218	0.0961	0.0931	0.0941
82	MYOC	1.598	1.101	0.147	0.0932	0.109
83	TMEM209	1.594	1.101	0.148	0.0943	0.11
84	KCNMB3	-0.545	0.333	0.102	0.0954	0.0978
85	LILRA1	0.48	0.293	0.101	0.0958	0.0976
86	ZNF527	0.155	0.094	0.098	0.0964	0.0969
87	FCGR2A	0.309	0.188	0.0991	0.0968	0.0975
88	SLC25A2	0.834	0.519	0.108	0.0974	0.0999
89	OR8K3	-0.947	0.603	0.116	0.0986	0.104
90	OAS2	-0.206	0.125	0.0998	0.0988	0.0992
91	ORC4	-1.577	1.103	0.153	0.0992	0.115
92	OR2C1	-0.416	0.258	0.107	0.102	0.104
93	C12orf60	-0.288	0.178	0.106	0.104	0.105
94	OR2V2	-0.506	0.316	0.109	0.105	0.107
95	AKAP3	-0.154	0.096	0.108	0.106	0.106
96	MAGEE2	-0.577	0.364	0.113	0.106	0.108
97	RP11-487E13.1	0.322	0.201	0.108	0.106	0.107
98	ZNF595	0.562	0.354	0.112	0.107	0.109
99	TMPRSS11A	0.276	0.173	0.11	0.109	0.109
100	ABCB5	0.949	0.626	0.13	0.112	0.118
101	MTMR6	-0.405	0.257	0.115	0.112	0.113
102	SRA1	0.102	0.064	0.114	0.113	0.114
103	PNPLA1	-0.728	0.474	0.125	0.114	0.118
104	RP11-113D6.6	1.014	0.687	0.14	0.118	0.125
105	UPP2	-0.746	0.501	0.136	0.121	0.127
106	DEFB126	0.145	0.094	0.123	0.122	0.122
107	DNAH2	1.071	0.774	0.166	0.122	0.138
108	OR52H1	-1	0.685	0.144	0.122	0.129
109	C5orf27	-0.459	0.303	0.13	0.124	0.126
110	CXorf58	0.897	0.611	0.142	0.126	0.13
111	ABHD12B	0.803	0.549	0.144	0.129	0.134
112	MUC20	0.263	0.175	0.133	0.132	0.133
113	OR2D3	0.545	0.367	0.138	0.132	0.134
114	TRBV10-2	-1.5	1.126	0.183	0.135	0.146
115	GPRC6A	0.134	0.091	0.142	0.139	0.14
116	KIAA1407	0.744	0.527	0.158	0.139	0.145
117	ZNF559	1.498	1.136	0.187	0.14	0.153
118	CNTN5	0.269	0.183	0.141	0.141	0.141
119	RBM43	-1.471	1.124	0.191	0.142	0.155
120	TRAJ36	-0.563	0.412	0.171	0.142	0.151
121	OR2T4	0.189	0.13	0.146	0.145	0.145
122	C17orf80	-1.111	0.823	0.177	0.147	0.156
123	GBP5	1.452	1.125	0.197	0.148	0.161
124	KCTD18	-1.108	0.824	0.179	0.149	0.158
125	C10ORF68	0.406	0.284	0.153	0.15	0.151
126	C4orf50	-1.106	0.824	0.179	0.15	0.159
127	CEP164	-1.445	1.125	0.199	0.15	0.164
128	TMEM216	0.244	0.171	0.153	0.151	0.152
129	KRTAP29-1	0.239	0.168	0.154	0.153	0.153
130	TNNT3	1.095	0.823	0.183	0.153	0.163
131	MC1R	1.433	1.124	0.203	0.154	0.167
132	USP49	-0.835	0.61	0.171	0.155	0.16
133	CDC25A	1.422	1.123	0.206	0.157	0.171
134	LCN10	0.232	0.165	0.159	0.157	0.158
135	ADPRH	-1.415	1.124	0.208	0.159	0.173
136	TRIM58	1.409	1.122	0.209	0.16	0.174
137	CLEC4M	1.41	1.124	0.21	0.161	0.175
138	PSRC1	-1.072	0.925	0.247	0.162	0.186
139	RDH16	-0.62	0.453	0.171	0.162	0.166
140	MUC3A	-0.14	0.1	0.163	0.163	0.163
141	TEX15	1.397	1.122	0.213	0.164	0.179
142	YIPF1	-1.402	1.125	0.213	0.164	0.179
143	CCDC17	-1.394	1.122	0.214	0.165	0.179
144	HLA-B	-0.15	0.108	0.166	0.165	0.165
145	ZNF274	-0.296	0.217	0.173	0.166	0.168
146	OR13C2	0.231	0.167	0.168	0.167	0.167
147	OR8I2	0.182	0.133	0.169	0.167	0.168
148	POLR3C	-1.388	1.124	0.217	0.168	0.183
149	ATXN3	-0.737	0.557	0.186	0.173	0.177
150	ZSWIM8	-1.37	1.122	0.222	0.173	0.189
151	TIGD6	-0.186	0.137	0.175	0.174	0.174
152	C4orf47	-0.636	0.48	0.185	0.175	0.179
153	MMP10	0.604	0.454	0.184	0.176	0.178
154	P2RX7	1.364	1.123	0.225	0.176	0.191
155	LINC01100	0.917	0.709	0.196	0.177	0.183
156	TAAR9	-0.16	0.119	0.179	0.178	0.178
157	PTCHD3	0.107	0.08	0.18	0.179	0.179
158	ELOVL5	-0.739	0.58	0.202	0.18	0.187
159	ME1	-0.895	0.699	0.2	0.181	0.187
160	PRODH	0.429	0.323	0.184	0.181	0.182
161	USH2A	1.35	1.124	0.23	0.181	0.197
162	OR2T27	-0.627	0.481	0.193	0.183	0.187
163	RFX8	0.889	0.699	0.203	0.184	0.19
164	AC079612.1	0.273	0.207	0.187	0.185	0.186
165	MDP1	-0.412	0.314	0.19	0.185	0.187
166	TSPAN16	0.216	0.163	0.186	0.185	0.185
167	AC091801.1	-0.884	0.698	0.205	0.186	0.192
168	OR5M10	0.326	0.248	0.189	0.187	0.187
169	OR9K2	0.184	0.14	0.188	0.187	0.187
170	IGLV3-12	-0.19	0.144	0.189	0.188	0.188
171	TTC24	-0.532	0.411	0.195	0.189	0.191
172	CFHR2	-0.74	0.611	0.226	0.191	0.203
173	TXLNG	0.558	0.434	0.198	0.191	0.193
174	ANO7	-1.319	1.128	0.242	0.194	0.211
175	NEK3	0.175	0.135	0.195	0.194	0.195
176	RNASEL	1.046	0.851	0.219	0.194	0.2
177	ATG4C	0.707	0.561	0.208	0.195	0.199
178	HYKK	-0.864	0.698	0.216	0.196	0.203
179	DYX1C1	-0.296	0.231	0.2	0.197	0.198
180	TEX13B	0.857	0.698	0.22	0.2	0.207
181	ZNF571	-1.31	1.132	0.247	0.2	0.217
182	EIF5B	-0.852	0.701	0.224	0.205	0.212
183	PDCD1LG2	-1.302	1.136	0.252	0.205	0.223
184	PRR21	0.464	0.37	0.21	0.205	0.207
185	BTNL9	0.856	0.704	0.224	0.206	0.212
186	HOMEZ	0.538	0.435	0.216	0.209	0.211
187	OR4M2	0.606	0.491	0.217	0.209	0.211
188	PNLIPRP3	-0.383	0.307	0.212	0.209	0.21
189	TRIM31	0.842	0.699	0.228	0.209	0.216
190	ANXA9	0.444	0.361	0.218	0.21	0.213
191	GRIA1	-0.641	0.523	0.22	0.21	0.214
192	WDR27	-0.509	0.416	0.221	0.215	0.217
193	CD33	0.453	0.372	0.223	0.216	0.219
194	MOK	0.244	0.198	0.218	0.216	0.217
195	C9orf85	1.366	1.193	0.252	0.217	0.223
196	UBQLNL	1.336	1.178	0.257	0.22	0.226
197	OR52N4	-0.189	0.154	0.222	0.221	0.221
198	VSIG10L	0.177	0.146	0.224	0.222	0.222
199	DCDC2B	-0.626	0.534	0.241	0.224	0.23
200	AC079354.1	-0.815	0.7	0.244	0.225	0.233
201	IDI2	0.284	0.235	0.227	0.225	0.226
202	OR5M11	0.299	0.249	0.23	0.228	0.228
203	ECT2L	0.967	0.848	0.254	0.23	0.237
204	OR4C3	-0.962	0.843	0.254	0.23	0.237
205	KIAA0907	-0.511	0.433	0.238	0.231	0.234
206	LINC00955	-0.244	0.204	0.232	0.231	0.232
207	MKI67	0.395	0.333	0.235	0.231	0.232
208	METTL20	1.316	1.187	0.268	0.232	0.24
209	TPD52L3	0.567	0.485	0.242	0.234	0.237
210	ZFP91	0.572	0.488	0.242	0.234	0.236
211	CARD6	0.428	0.364	0.239	0.235	0.236
212	TRMT10B	0.954	0.844	0.259	0.235	0.242
213	HCFC1	0.715	0.621	0.25	0.236	0.24
214	DSC3	-0.356	0.311	0.251	0.237	0.242
215	OR1J1	-0.713	0.62	0.25	0.237	0.241
216	APOC3	-0.944	0.844	0.263	0.239	0.247
217	SERHL2	1.284	1.177	0.275	0.24	0.247
218	PDE11A	-0.936	0.846	0.268	0.245	0.252
219	SHC1	-0.931	0.843	0.269	0.245	0.253
220	CCHCR1	-0.156	0.134	0.247	0.246	0.246
221	DSCR8	0.644	0.567	0.256	0.246	0.249
222	ZNF229	-0.933	0.849	0.272	0.248	0.256
223	SLC26A10	0.698	0.623	0.263	0.249	0.254
224	MRO	-0.92	0.843	0.275	0.251	0.259
225	C14orf23	0.182	0.159	0.253	0.252	0.252
226	LAIR2	0.455	0.404	0.26	0.252	0.255
227	GSDMB	-0.151	0.132	0.254	0.253	0.253
228	ZNF100	-0.707	0.654	0.28	0.253	0.263
229	FAM71D	0.446	0.394	0.258	0.254	0.255
230	TIMM10B	1.242	1.174	0.29	0.254	0.262
231	ZNF124	-0.917	0.843	0.277	0.254	0.261
232	APOL4	0.12	0.105	0.256	0.255	0.255
233	MNS1	0.631	0.566	0.265	0.255	0.258
234	P2RX6	-0.919	0.847	0.278	0.255	0.263
235	PLEKHH1	-0.775	0.707	0.273	0.255	0.262
236	SH2B2	0.322	0.284	0.257	0.255	0.256
237	MAP2K3	-1.22	1.166	0.295	0.259	0.268
238	FMO9P	0.211	0.189	0.263	0.262	0.262
239	GCKR	0.907	0.848	0.285	0.262	0.27
240	BCAP29	1.236	1.188	0.298	0.264	0.273
241	EFCAB13	0.112	0.1	0.264	0.264	0.264
242	OR4C5	0.172	0.159	0.28	0.265	0.271
243	CYP2D6	0.399	0.362	0.27	0.266	0.267
244	BRCA2	0.574	0.527	0.276	0.268	0.27
245	ZNF852	-0.467	0.44	0.289	0.268	0.273
246	GUF1	-1.218	1.19	0.306	0.272	0.282
247	C5orf42	-1.185	1.163	0.308	0.273	0.282
248	EXO5	0.498	0.461	0.28	0.273	0.276
249	ABCC11	-0.458	0.424	0.281	0.274	0.276
250	ANO5	-1.183	1.164	0.31	0.274	0.283
251	PSG7	0.182	0.166	0.275	0.274	0.274
252	PABPC3	1.183	1.167	0.31	0.275	0.284
253	CCDC103	1.18	1.165	0.311	0.276	0.285
254	EPSTI1	-0.525	0.494	0.289	0.276	0.281
255	BTNL2	0.29	0.269	0.28	0.277	0.278
256	WDR66	-1.183	1.17	0.312	0.277	0.287
257	ACOT8	1.178	1.169	0.314	0.278	0.288
258	CCDC148	1.172	1.162	0.313	0.278	0.287
259	WDR41	-0.145	0.134	0.278	0.278	0.278
260	CROT	1.17	1.162	0.314	0.279	0.288
261	FKBP7	-1.169	1.162	0.315	0.279	0.289
262	LRRC55	-1.166	1.163	0.316	0.28	0.29
263	PRKDC	-0.124	0.115	0.281	0.28	0.281
264	KRT76	0.598	0.566	0.291	0.281	0.285
265	CARD10	1.161	1.162	0.318	0.282	0.292
266	GJA10	0.746	0.716	0.297	0.283	0.287
267	GOLGA6L2	-0.613	0.607	0.312	0.284	0.294
268	SERGEF	1.15	1.159	0.321	0.285	0.295
269	SFTPB	1.156	1.163	0.32	0.285	0.295
270	FAM187B	-0.132	0.124	0.288	0.287	0.288
271	GC	0.495	0.47	0.292	0.287	0.288
272	MCU	-1.149	1.161	0.322	0.287	0.297
273	ZNF80	-0.159	0.15	0.288	0.287	0.288
274	CCDC108	-1.146	1.16	0.323	0.288	0.298
275	FGGY	-1.146	1.16	0.323	0.288	0.298
276	MICALCL	1.144	1.159	0.324	0.288	0.298
277	CNTLN	1.145	1.161	0.324	0.289	0.299
278	ST20	-1.154	1.168	0.323	0.289	0.299
279	TTLL6	-0.393	0.376	0.296	0.289	0.291
280	CAPN9	1.147	1.165	0.325	0.29	0.3
281	PTPN7	-1.144	1.162	0.325	0.29	0.3
282	SPZ1	1.146	1.164	0.325	0.29	0.3
283	ZNF716	-1.142	1.16	0.325	0.29	0.3
284	CAPN8	0.134	0.128	0.292	0.291	0.291
285	ZNF506	1.137	1.16	0.327	0.291	0.302
286	IFLTD1	1.141	1.165	0.327	0.292	0.302
287	MROH2A	0.243	0.231	0.294	0.292	0.292
288	USP29	0.148	0.141	0.293	0.292	0.292
289	MSR1	0.545	0.526	0.301	0.293	0.295
290	IL3RA	-0.849	0.847	0.316	0.294	0.303
291	PRSS55	-0.358	0.343	0.297	0.294	0.295
292	TMTC1	1.13	1.159	0.33	0.294	0.305
293	HYAL4	1.129	1.16	0.33	0.295	0.306
294	NUDT13	1.133	1.164	0.33	0.295	0.306
295	ESPNP	1.13	1.162	0.331	0.296	0.307
296	PSG8	-0.26	0.251	0.299	0.296	0.298
297	GPRC5D	1.125	1.159	0.332	0.297	0.307
298	PSMB11	-1.124	1.159	0.332	0.297	0.308
299	TIGD4	-1.124	1.161	0.333	0.298	0.309
300	VPS13A	-0.727	0.719	0.312	0.298	0.302
301	ZACN	0.175	0.168	0.299	0.298	0.299
302	C10orf113	0.182	0.175	0.3	0.299	0.299
303	DPYD	-1.121	1.16	0.334	0.299	0.31
304	ERCC2	1.12	1.162	0.335	0.3	0.311
305	NPHP3	-1.12	1.163	0.335	0.301	0.311
306	ZNF556	-0.721	0.717	0.315	0.301	0.305
307	ATM	0.718	0.716	0.316	0.302	0.307
308	PMS2P5	0.36	0.352	0.306	0.302	0.303
309	CLYBL	-0.395	0.387	0.307	0.303	0.305
310	FSIP1	1.111	1.162	0.339	0.304	0.315
311	DUOX1	1.111	1.163	0.34	0.305	0.316
312	GRAMD1C	-1.103	1.16	0.342	0.307	0.319
313	OR52A1	-0.152	0.149	0.309	0.308	0.309
314	OR2W3	0.196	0.193	0.31	0.309	0.309
315	PNKP	-1.098	1.16	0.344	0.309	0.321
316	SCRN3	-0.145	0.143	0.31	0.309	0.31
317	CACNA1G	1.097	1.16	0.344	0.31	0.321
318	ANKK1	1.095	1.161	0.346	0.311	0.322
319	CHP2	-1.092	1.162	0.347	0.313	0.324
320	RHBDD3	-0.701	0.716	0.327	0.313	0.318
321	ZNF845	-1.09	1.16	0.347	0.313	0.324
322	DNAH7	-0.698	0.714	0.328	0.314	0.319
323	UMODL1	-0.702	0.717	0.328	0.314	0.319
324	BPIFB3	1.115	1.186	0.347	0.315	0.326
325	C2orf53	1.087	1.161	0.349	0.315	0.326
326	HHIPL2	0.921	1.027	0.37	0.316	0.33
327	STK32C	-0.697	0.714	0.329	0.316	0.32
328	AKR7L	-0.35	0.353	0.321	0.317	0.319
329	FAM122C	-0.517	0.525	0.325	0.317	0.32
330	LIMCH1	-1.085	1.163	0.351	0.317	0.328
331	NEDD4	1.08	1.159	0.351	0.317	0.329
332	CYP3A5	-0.692	0.714	0.332	0.319	0.323
333	DCAKD	-0.695	0.717	0.332	0.319	0.324
334	TTC40	-1.077	1.16	0.353	0.319	0.33
335	GAL3ST2	-1.076	1.16	0.354	0.32	0.332
336	IGSF22	-1.082	1.166	0.353	0.32	0.332
337	OR4Q2	0.131	0.132	0.32	0.32	0.32
338	KCNJ12	1.076	1.162	0.354	0.321	0.332
339	TRAV19	0.206	0.208	0.323	0.321	0.322
340	KAT2A	-0.519	0.547	0.342	0.323	0.33
341	LRP1	1.07	1.161	0.357	0.324	0.335
342	GPRC5A	1.062	1.163	0.361	0.328	0.34
343	IGLV4-60	-0.132	0.136	0.331	0.33	0.33
344	TGFBR2	0.683	0.72	0.343	0.33	0.334
345	OR5K2	-0.165	0.17	0.331	0.331	0.331
346	SPATA31E1	-1.054	1.161	0.364	0.331	0.343
347	ITM2B	-1.046	1.162	0.368	0.335	0.347
348	ZNF101	-0.334	0.352	0.342	0.339	0.34
349	AFG3L1P	0.292	0.307	0.342	0.34	0.341
350	COL7A1	-1.043	1.17	0.373	0.341	0.353
351	PBOV1	0.234	0.247	0.344	0.342	0.343
352	TMC3	-0.367	0.391	0.348	0.345	0.346
353	DZIP3	1.026	1.164	0.378	0.346	0.358
354	ENDOV	0.326	0.347	0.348	0.346	0.346
355	ZNF354B	0.8	0.881	0.364	0.349	0.352
356	CENPBD1	0.582	0.635	0.359	0.35	0.353
357	SIGLEC1	-0.583	0.635	0.359	0.35	0.353
358	C1orf177	0.58	0.634	0.361	0.351	0.354
359	ACOT4	0.074	0.08	0.354	0.354	0.354
360	RP11-794P6.2	-0.183	0.198	0.355	0.354	0.355
361	KRT31	-0.338	0.368	0.359	0.355	0.356
362	C1orf105	0.246	0.268	0.358	0.356	0.357
363	ZAN	-0.249	0.271	0.358	0.356	0.357
364	GPR151	0.573	0.635	0.367	0.357	0.36
365	SMAP1	0.293	0.321	0.361	0.359	0.359
366	TRAV35	0.251	0.275	0.361	0.359	0.36
367	FMO6P	0.114	0.125	0.361	0.361	0.361
368	FAM111A	0.567	0.638	0.374	0.365	0.368
369	FAM179A	-0.564	0.635	0.374	0.365	0.368
370	AL133373.1	-0.77	0.879	0.381	0.366	0.37
371	CREB3L1	-0.099	0.11	0.367	0.366	0.366
372	OR5B12	-0.564	0.636	0.375	0.366	0.369
373	STK11IP	-0.157	0.175	0.368	0.367	0.367
374	CUL9	0.764	0.876	0.383	0.368	0.372
375	AC114783.1	-0.203	0.227	0.37	0.369	0.37
376	APLF	0.516	0.582	0.375	0.369	0.371
377	CLEC7A	-0.223	0.25	0.372	0.371	0.372
378	CELA1	-0.133	0.15	0.375	0.374	0.374
379	DUXA	-0.755	0.875	0.388	0.374	0.378
380	CCDC125	-0.474	0.541	0.381	0.376	0.377
381	ERV3-1	0.183	0.209	0.383	0.382	0.382
382	PPP2R5A	0.742	0.878	0.398	0.384	0.388
383	CLCA3P	-0.191	0.22	0.386	0.385	0.385
384	EFCAB3	-0.737	0.874	0.399	0.385	0.389
385	GPRIN1	-0.065	0.075	0.386	0.385	0.386
386	OR11G2	-0.13	0.15	0.386	0.385	0.385
387	MUC7	-0.15	0.174	0.387	0.386	0.386
388	AMPD1	0.187	0.217	0.388	0.387	0.387
389	OAS3	-0.384	0.449	0.392	0.388	0.389
